recall_number,category,confidence
F-0552-2023,Eggs,medium
F-0552-2024,Dairy,high
F-0552-2025,Snacks/Candy,high
F-0553-2013,Bakery,medium
F-0553-2014,Prepared/Frozen,high
F-0553-2015,Nuts/Seeds,high
F-0553-2016,Bakery,high
F-0553-2017,Prepared/Frozen,medium
F-0553-2018,Seafood,high
F-0553-2019,Dairy,high
F-0553-2020,Prepared/Frozen,medium
F-0553-2021,Bakery,high
F-0553-2022,Produce,high
F-0553-2023,Bakery,high
F-0553-2024,Dairy,medium
F-0553-2025,Bakery,medium
F-0554-2013,Bakery,high
F-0554-2014,Prepared/Frozen,medium
F-0554-2015,Nuts/Seeds,high
F-0554-2016,Bakery,high
F-0554-2017,Prepared/Frozen,medium
F-0554-2018,Spices/Condiments,high
F-0554-2019,Dairy,high
F-0554-2020,Prepared/Frozen,medium
F-0554-2021,Bakery,high
F-0554-2022,Produce,high
F-0554-2023,Prepared/Frozen,high
F-0554-2024,Dairy,medium
F-0554-2025,Produce,medium
F-0555-2013,Snacks/Candy,medium
F-0555-2014,Prepared/Frozen,medium
F-0555-2015,Nuts/Seeds,high
F-0555-2016,Bakery,high
F-0555-2017,Dairy,high
F-0555-2018,Snacks/Candy,high
F-0555-2019,Dairy,high
F-0555-2020,Prepared/Frozen,medium
F-0555-2021,Plant Protein,low
F-0555-2022,Produce,medium
F-0555-2023,Prepared/Frozen,high
F-0555-2024,Dairy,medium
F-0555-2025,Snacks/Candy,high
F-0556-2013,Dairy,high
F-0556-2014,Prepared/Frozen,medium
F-0556-2015,Nuts/Seeds,high
F-0556-2016,Bakery,high
F-0556-2017,Dairy,high
F-0556-2018,Produce,high
F-0556-2019,Dairy,high
F-0556-2020,Prepared/Frozen,medium
F-0556-2021,Plant Protein,medium
F-0556-2022,Produce,high
F-0556-2023,Prepared/Frozen,high
F-0556-2024,Dairy,medium
F-0556-2025,Snacks/Candy,high
F-0557-2013,Dairy,medium
F-0557-2014,Prepared/Frozen,high
F-0557-2015,Nuts/Seeds,high
F-0557-2016,Bakery,high
F-0557-2017,Dairy,high
F-0557-2018,Plant Protein,high
F-0557-2019,Dairy,high
F-0557-2020,Prepared/Frozen,low
F-0557-2021,Plant Protein,medium
F-0557-2022,Produce,high
F-0557-2023,Prepared/Frozen,high
F-0557-2024,Dairy,medium
F-0557-2025,Snacks/Candy,high
F-0558-2013,Seafood,high
F-0558-2014,Prepared/Frozen,high
F-0558-2015,Nuts/Seeds,high
F-0558-2016,Bakery,high
F-0558-2017,Dairy,high
F-0558-2018,Plant Protein,high
F-0558-2019,Dairy,high
F-0558-2020,Prepared/Frozen,medium
F-0558-2021,Spices/Condiments,medium
F-0558-2022,Produce,medium
F-0558-2023,Prepared/Frozen,high
F-0558-2024,Dairy,medium
F-0558-2025,Snacks/Candy,high
F-0559-2013,Nuts/Seeds,high
F-0559-2014,Prepared/Frozen,medium
F-0559-2015,Nuts/Seeds,high
F-0559-2016,Bakery,medium
F-0559-2017,Grains/Cereal,medium
F-0559-2018,Prepared/Frozen,high
F-0559-2019,Dairy,high
F-0559-2020,Bakery,high
F-0559-2021,Spices/Condiments,high
F-0559-2022,Produce,medium
F-0559-2023,Bakery,medium
F-0559-2024,Dairy,medium
F-0559-2025,Snacks/Candy,high
F-0560-2013,Nuts/Seeds,high
F-0560-2014,Prepared/Frozen,high
F-0560-2015,Nuts/Seeds,high
F-0560-2016,Bakery,high
F-0560-2017,Seafood,medium
F-0560-2018,Bakery,high
F-0560-2019,Dairy,high
F-0560-2020,Spices/Condiments,high
F-0560-2021,Prepared/Frozen,high
F-0560-2022,Produce,medium
F-0560-2023,Prepared/Frozen,high
F-0560-2024,Dairy,high
F-0560-2025,Snacks/Candy,high
F-0561-2013,Nuts/Seeds,high
F-0561-2014,Prepared/Frozen,medium
F-0561-2015,Nuts/Seeds,high
F-0561-2016,Bakery,high
F-0561-2017,Beverages,high
F-0561-2018,Bakery,high
F-0561-2019,Dairy,high
F-0561-2020,Grains/Cereal,high
F-0561-2021,Prepared/Frozen,high
F-0561-2022,Produce,high
F-0561-2023,Prepared/Frozen,high
F-0561-2024,Dairy,medium
F-0561-2025,Snacks/Candy,high
F-0562-2013,Nuts/Seeds,high
F-0562-2014,Prepared/Frozen,medium
F-0562-2015,Nuts/Seeds,high
F-0562-2016,Bakery,high
F-0562-2017,Prepared/Frozen,medium
F-0562-2018,Dairy,high
F-0562-2019,Dairy,high
F-0562-2020,Spices/Condiments,high
F-0562-2021,Prepared/Frozen,high
F-0562-2022,Produce,high
F-0562-2023,Produce,low
F-0562-2024,Dairy,medium
F-0562-2025,Snacks/Candy,high
F-0563-2013,Dairy,high
F-0563-2014,Prepared/Frozen,medium
F-0563-2015,Nuts/Seeds,high
F-0563-2016,Bakery,high
F-0563-2017,Dairy,high
F-0563-2018,Seafood,high
F-0563-2019,Dairy,high
F-0563-2020,Snacks/Candy,medium
F-0563-2021,Beverages,high
F-0563-2022,Produce,medium
F-0563-2023,Prepared/Frozen,high
F-0563-2024,Dairy,medium
F-0563-2025,Grains/Cereal,medium
F-0564-2013,Dairy,high
F-0564-2014,Prepared/Frozen,high
F-0564-2015,Nuts/Seeds,high
F-0564-2016,Bakery,high
F-0564-2017,Dairy,high
F-0564-2018,Dairy,high
F-0564-2019,Dairy,high
F-0564-2020,Snacks/Candy,medium
F-0564-2021,Beverages,high
F-0564-2022,Produce,medium
F-0564-2023,Prepared/Frozen,high
F-0564-2024,Dairy,medium
F-0564-2025,Produce,high
F-0565-2013,Prepared/Frozen,medium
F-0565-2014,Prepared/Frozen,high
F-0565-2015,Bakery,medium
F-0565-2016,Beverages,high
F-0565-2017,Dairy,high
F-0565-2018,Bakery,high
F-0565-2019,Dairy,high
F-0565-2020,Seafood,medium
F-0565-2021,Beverages,high
F-0565-2022,Produce,high
F-0565-2023,Prepared/Frozen,medium
F-0565-2024,Dairy,medium
F-0565-2025,Produce,low
F-0566-2013,Bakery,medium
F-0566-2014,Prepared/Frozen,medium
F-0566-2015,Bakery,medium
F-0566-2016,Spices/Condiments,high
F-0566-2017,Dairy,high
F-0566-2018,Seafood,high
F-0566-2019,Dairy,high
F-0566-2020,Bakery,high
F-0566-2021,Beverages,high
F-0566-2022,Produce,medium
F-0566-2023,Prepared/Frozen,high
F-0566-2024,Dairy,high
F-0566-2025,Prepared/Frozen,medium
F-0567-2013,Prepared/Frozen,medium
F-0567-2014,Produce,high
F-0567-2015,Spices/Condiments,high
F-0567-2016,Spices/Condiments,high
F-0567-2017,Dairy,high
F-0567-2018,Produce,medium
F-0567-2019,Dairy,high
F-0567-2020,Prepared/Frozen,medium
F-0567-2021,Produce,high
F-0567-2022,Produce,high
F-0567-2023,Prepared/Frozen,high
F-0567-2024,Nuts/Seeds,medium
F-0567-2025,Supplements,high
F-0568-2013,Prepared/Frozen,medium
F-0568-2014,Produce,high
F-0568-2015,Bakery,medium
F-0568-2016,Spices/Condiments,high
F-0568-2017,Dairy,high
F-0568-2018,Spices/Condiments,low
F-0568-2019,Dairy,high
F-0568-2020,Eggs,high
F-0568-2021,Dairy,medium
F-0568-2022,Produce,high
F-0568-2023,Dairy,medium
F-0568-2024,Produce,high
F-0568-2025,Produce,high
F-0569-2013,Snacks/Candy,high
F-0569-2014,Produce,high
F-0569-2015,Prepared/Frozen,low
F-0569-2016,Produce,high
F-0569-2017,Dairy,high
F-0569-2018,Prepared/Frozen,high
F-0569-2019,Dairy,high
F-0569-2020,Seafood,high
F-0569-2021,Dairy,medium
F-0569-2022,Produce,high
F-0569-2023,Prepared/Frozen,high
F-0569-2024,Produce,high
F-0569-2025,Produce,high
F-0570-2013,Snacks/Candy,high
F-0570-2014,Produce,high
F-0570-2015,Spices/Condiments,medium
F-0570-2016,Produce,high
F-0570-2017,Nuts/Seeds,high
F-0570-2018,Spices/Condiments,medium
F-0570-2019,Dairy,high
F-0570-2020,Plant Protein,high
F-0570-2021,Dairy,low
F-0570-2022,Produce,medium
F-0570-2023,Prepared/Frozen,high
F-0570-2024,Seafood,high
F-0570-2025,Spices/Condiments,medium
F-0571-2013,Snacks/Candy,high
F-0571-2014,Produce,medium
F-0571-2015,Spices/Condiments,low
F-0571-2016,Plant Protein,high
F-0571-2017,Dairy,high
F-0571-2018,Baking Supplies,low
F-0571-2019,Dairy,high
F-0571-2020,Nuts/Seeds,medium
F-0571-2021,Dairy,medium
F-0571-2022,Produce,high
F-0571-2023,Prepared/Frozen,high
F-0571-2024,Seafood,high
F-0571-2025,Nuts/Seeds,high
F-0572-2013,Snacks/Candy,high
F-0572-2014,Produce,medium
F-0572-2015,Spices/Condiments,high
F-0572-2016,Plant Protein,high
F-0572-2017,Dairy,high
F-0572-2018,Spices/Condiments,high
F-0572-2019,Dairy,high
F-0572-2020,Food Additives/Ingredients,high
F-0572-2021,Dairy,medium
F-0572-2022,Produce,high
F-0572-2023,Prepared/Frozen,high
F-0572-2024,Dairy,high
F-0572-2025,Dairy,medium
F-0573-2013,Snacks/Candy,high
F-0573-2014,Produce,medium
F-0573-2015,Spices/Condiments,high
F-0573-2016,Snacks/Candy,medium
F-0573-2017,Dairy,high
F-0573-2018,Spices/Condiments,high
F-0573-2019,Dairy,high
F-0573-2020,Supplements,high
F-0573-2021,Dairy,low
F-0573-2022,Produce,high
F-0573-2023,Prepared/Frozen,medium
F-0573-2024,Dairy,medium
F-0573-2025,Grains/Cereal,medium
F-0574-2013,Snacks/Candy,high
F-0574-2014,Produce,medium
F-0574-2015,Seafood,high
F-0574-2016,Snacks/Candy,low
F-0574-2017,Dairy,high
F-0574-2018,Snacks/Candy,high
F-0574-2019,Dairy,high
F-0574-2020,Prepared/Frozen,medium
F-0574-2021,Dairy,high
F-0574-2022,Produce,high
F-0574-2023,Prepared/Frozen,high
F-0574-2024,Produce,medium
F-0574-2025,Beverages,high
F-0575-2013,Snacks/Candy,high
F-0575-2014,Produce,high
F-0575-2016,Beverages,high
F-0575-2017,Dairy,high
F-0575-2018,Snacks/Candy,high
F-0575-2019,Dairy,high
F-0575-2020,Seafood,high
F-0575-2021,Dairy,high
F-0575-2022,Produce,high
F-0575-2023,Prepared/Frozen,high
F-0575-2024,Prepared/Frozen,medium
F-0575-2025,Beverages,medium
F-0576-2013,Snacks/Candy,high
F-0576-2014,Produce,medium
F-0576-2015,Uncategorized,low
F-0576-2016,Beverages,high
F-0576-2017,Produce,high
F-0576-2018,Seafood,high
F-0576-2019,Dairy,high
F-0576-2020,Seafood,high
F-0576-2021,Dairy,high
F-0576-2022,Produce,high
F-0576-2023,Prepared/Frozen,medium
F-0576-2024,Bakery,high
F-0576-2025,Bakery,medium
F-0577-2013,Snacks/Candy,high
F-0577-2014,Spices/Condiments,high
F-0577-2015,Spices/Condiments,medium
F-0577-2016,Beverages,high
F-0577-2017,Beverages,high
F-0577-2018,Seafood,high
F-0577-2019,Dairy,high
F-0577-2020,Seafood,high
F-0577-2021,Dairy,high
F-0577-2022,Produce,high
F-0577-2023,Prepared/Frozen,high
F-0577-2024,Spices/Condiments,high
F-0577-2025,Produce,high
F-0578-2013,Snacks/Candy,high
F-0578-2014,Produce,medium
F-0578-2015,Spices/Condiments,medium
F-0578-2016,Beverages,medium
F-0578-2017,Eggs,high
F-0578-2018,Dairy,high
F-0578-2019,Dairy,high
F-0578-2020,Seafood,high
F-0578-2021,Dairy,high
F-0578-2022,Produce,high
F-0578-2023,Prepared/Frozen,medium
F-0578-2024,Produce,high
F-0578-2025,Baby/Toddler Food,high
F-0579-2013,Snacks/Candy,high
F-0579-2014,Produce,medium
F-0579-2015,Beef/Pork/Poultry/Game Meats,high
F-0579-2016,Seafood,high
F-0579-2017,Prepared/Frozen,medium
F-0579-2018,Dairy,medium
F-0579-2019,Dairy,high
F-0579-2020,Seafood,high
F-0579-2021,Dairy,high
F-0579-2022,Produce,high
F-0579-2023,Dairy,medium
F-0579-2024,Produce,high
F-0579-2025,Baby/Toddler Food,high
F-0580-2013,Snacks/Candy,high
F-0580-2014,Produce,high
F-0580-2015,Spices/Condiments,medium
F-0580-2016,Seafood,high
F-0580-2017,Prepared/Frozen,high
F-0580-2018,Prepared/Frozen,low
F-0580-2019,Dairy,high
F-0580-2020,Seafood,high
F-0580-2021,Dairy,medium
F-0580-2022,Produce,medium
F-0580-2023,Beverages,high
F-0580-2024,Bakery,high
F-0580-2025,Snacks/Candy,high
F-0581-2013,Snacks/Candy,high
F-0581-2014,Produce,medium
F-0581-2015,Spices/Condiments,medium
F-0581-2016,Seafood,high
F-0581-2017,Bakery,high
F-0581-2018,Bakery,high
F-0581-2019,Dairy,high
F-0581-2020,Seafood,high
F-0581-2021,Dairy,medium
F-0581-2022,Produce,high
F-0581-2023,Beverages,high
F-0581-2024,Snacks/Candy,medium
F-0581-2025,Bakery,high
F-0582-2013,Snacks/Candy,high
F-0582-2014,Produce,medium
F-0582-2015,Uncategorized,low
F-0582-2016,Seafood,high
F-0582-2017,Bakery,high
F-0582-2018,Snacks/Candy,medium
F-0582-2019,Dairy,high
F-0582-2020,Prepared/Frozen,medium
F-0582-2021,Dairy,medium
F-0582-2022,Produce,high
F-0582-2023,Beverages,high
F-0582-2024,Produce,high
F-0582-2025,Bakery,high
F-0583-2013,Snacks/Candy,high
F-0583-2014,Plant Protein,high
F-0583-2015,Spices/Condiments,medium
F-0583-2016,Snacks/Candy,high
F-0583-2017,Bakery,high
F-0583-2018,Snacks/Candy,medium
F-0583-2019,Dairy,high
F-0583-2020,Prepared/Frozen,medium
F-0583-2021,Dairy,medium
F-0583-2022,Produce,high
F-0583-2023,Beverages,high
F-0583-2024,Produce,high
F-0583-2025,Bakery,medium
F-0584-2013,Snacks/Candy,high
F-0584-2014,Prepared/Frozen,medium
F-0584-2015,Dairy,low
F-0584-2017,Bakery,high
F-0584-2018,Bakery,medium
F-0584-2019,Dairy,high
F-0584-2020,Eggs,high
F-0584-2021,Dairy,medium
F-0584-2022,Produce,high
F-0584-2023,Bakery,high
F-0584-2024,Produce,high
F-0584-2025,Supplements,high
F-0585-2013,Snacks/Candy,high
F-0585-2014,Plant Protein,high
F-0585-2015,Spices/Condiments,medium
F-0585-2016,Bakery,high
F-0585-2017,Bakery,high
F-0585-2018,Bakery,medium
F-0585-2019,Dairy,high
F-0585-2020,Spices/Condiments,high
F-0585-2021,Dairy,medium
F-0585-2022,Produce,high
F-0585-2023,Bakery,medium
F-0585-2024,Produce,high
F-0585-2025,Produce,high
F-0586-2013,Snacks/Candy,high
F-0586-2014,Plant Protein,medium
F-0586-2015,Spices/Condiments,high
F-0586-2016,Bakery,high
F-0586-2017,Bakery,high
F-0586-2018,Snacks/Candy,low
F-0586-2019,Dairy,high
F-0586-2020,Prepared/Frozen,medium
F-0586-2021,Dairy,medium
F-0586-2022,Produce,high
F-0586-2023,Bakery,medium
F-0586-2024,Produce,high
F-0586-2025,Produce,medium
F-0587-2013,Snacks/Candy,high
F-0587-2014,Plant Protein,high
F-0587-2015,Spices/Condiments,medium
F-0587-2016,Bakery,medium
F-0587-2017,Bakery,high
F-0587-2018,Snacks/Candy,medium
F-0587-2019,Dairy,high
F-0587-2020,Prepared/Frozen,low
F-0587-2021,Dairy,medium
F-0587-2022,Produce,high
F-0587-2023,Bakery,high
F-0587-2024,Produce,high
F-0587-2025,Produce,high
F-0588-2013,Snacks/Candy,medium
F-0588-2014,Plant Protein,high
F-0588-2015,Spices/Condiments,medium
F-0588-2016,Bakery,medium
F-0588-2017,Bakery,high
F-0588-2018,Bakery,medium
F-0588-2019,Dairy,high
F-0588-2020,Seafood,high
F-0588-2021,Dairy,medium
F-0588-2022,Produce,medium
F-0588-2023,Bakery,medium
F-0588-2024,Produce,high
F-0588-2025,Produce,high
F-0589-2013,Snacks/Candy,high
F-0589-2014,Plant Protein,high
F-0589-2015,Nuts/Seeds,high
F-0589-2016,Bakery,medium
F-0589-2017,Produce,medium
F-0589-2018,Snacks/Candy,medium
F-0589-2019,Dairy,high
F-0589-2020,Baking Supplies,medium
F-0589-2021,Dairy,medium
F-0589-2022,Produce,medium
F-0589-2023,Bakery,high
F-0589-2024,Bakery,medium
F-0589-2025,Produce,medium
F-0590-2013,Snacks/Candy,high
F-0590-2014,Plant Protein,medium
F-0590-2015,Bakery,high
F-0590-2016,Bakery,medium
F-0590-2017,Dairy,high
F-0590-2018,Spices/Condiments,high
F-0590-2019,Dairy,high
F-0590-2020,Snacks/Candy,medium
F-0590-2021,Dairy,medium
F-0590-2022,Produce,high
F-0590-2023,Bakery,medium
F-0590-2024,Bakery,medium
F-0590-2025,Produce,low
F-0591-2013,Snacks/Candy,high
F-0591-2014,Plant Protein,medium
F-0591-2015,Supplements,high
F-0591-2016,Bakery,medium
F-0591-2017,Dairy,high
F-0591-2018,Spices/Condiments,high
F-0591-2019,Dairy,high
F-0591-2020,Snacks/Candy,medium
F-0591-2021,Dairy,high
F-0591-2022,Produce,medium
F-0591-2023,Bakery,medium
F-0591-2024,Bakery,medium
F-0591-2025,Plant Protein,high
F-0592-2013,Snacks/Candy,high
F-0592-2014,Plant Protein,high
F-0592-2015,Supplements,high
F-0592-2016,Uncategorized,low
F-0592-2017,Dairy,high
F-0592-2018,Spices/Condiments,high
F-0592-2019,Dairy,high
F-0592-2020,Snacks/Candy,medium
F-0592-2021,Dairy,high
F-0592-2022,Produce,high
F-0592-2023,Bakery,high
F-0592-2024,Bakery,medium
F-0592-2025,Plant Protein,high
F-0593-2013,Snacks/Candy,high
F-0593-2014,Plant Protein,high
F-0593-2015,Spices/Condiments,high
F-0593-2016,Bakery,high
F-0593-2017,Dairy,high
F-0593-2018,Spices/Condiments,high
F-0593-2019,Dairy,high
F-0593-2020,Snacks/Candy,high
F-0593-2021,Dairy,high
F-0593-2022,Produce,high
F-0593-2023,Bakery,medium
F-0593-2024,Bakery,medium
F-0593-2025,Plant Protein,high
F-0594-2013,Supplements,high
F-0594-2014,Eggs,high
F-0594-2015,Spices/Condiments,high
F-0594-2016,Bakery,high
F-0594-2017,Nuts/Seeds,high
F-0594-2018,Spices/Condiments,high
F-0594-2019,Dairy,high
F-0594-2021,Dairy,high
F-0594-2022,Produce,medium
F-0594-2023,Bakery,high
F-0594-2024,Snacks/Candy,medium
F-0594-2025,Plant Protein,high
F-0595-2013,Dairy,high
F-0595-2014,Eggs,high
F-0595-2015,Dairy,high
F-0595-2016,Bakery,high
F-0595-2017,Nuts/Seeds,high
F-0595-2018,Spices/Condiments,high
F-0595-2019,Dairy,high
F-0595-2020,Eggs,medium
F-0595-2021,Dairy,high
F-0595-2022,Produce,high
F-0595-2023,Bakery,medium
F-0595-2024,Bakery,medium
F-0595-2025,Plant Protein,high
F-0596-2013,Dairy,high
F-0596-2014,Eggs,high
F-0596-2015,Dairy,high
F-0596-2016,Bakery,medium
F-0596-2017,Nuts/Seeds,high
F-0596-2018,Spices/Condiments,high
F-0596-2019,Dairy,high
F-0596-2020,Eggs,medium
F-0596-2021,Dairy,medium
F-0596-2022,Produce,high
F-0596-2023,Bakery,high
F-0596-2024,Bakery,medium
F-0596-2025,Plant Protein,high
F-0597-2013,Snacks/Candy,medium
F-0597-2014,Eggs,high
F-0597-2015,Dairy,high
F-0597-2016,Snacks/Candy,medium
F-0597-2017,Seafood,high
F-0597-2018,Spices/Condiments,high
F-0597-2019,Dairy,high
F-0597-2020,Prepared/Frozen,medium
F-0597-2021,Dairy,medium
F-0597-2022,Produce,high
F-0597-2023,Bakery,medium
F-0597-2024,Bakery,high
F-0597-2025,Plant Protein,high
F-0598-2013,Prepared/Frozen,high
F-0598-2014,Eggs,high
F-0598-2015,Dairy,high
F-0598-2016,Bakery,high
F-0598-2017,Seafood,high
F-0598-2018,Spices/Condiments,high
F-0598-2019,Dairy,high
F-0598-2020,Dairy,high
F-0598-2021,Dairy,medium
F-0598-2022,Produce,high
F-0598-2023,Bakery,high
F-0598-2024,Grains/Cereal,high
F-0598-2025,Plant Protein,high
F-0599-2013,Produce,high
F-0599-2014,Seafood,high
F-0599-2015,Dairy,high
F-0599-2016,Grains/Cereal,medium
F-0599-2017,Snacks/Candy,high
F-0599-2018,Spices/Condiments,high
F-0599-2019,Dairy,high
F-0599-2020,Prepared/Frozen,low
F-0599-2021,Dairy,medium
F-0599-2022,Produce,medium
F-0599-2023,Bakery,high
F-0599-2024,Grains/Cereal,high
F-0599-2025,Plant Protein,high
F-0600-2013,Grains/Cereal,high
F-0600-2014,Seafood,medium
F-0600-2015,Dairy,high
F-0600-2016,Grains/Cereal,medium
F-0600-2017,Nuts/Seeds,high
F-0600-2018,Spices/Condiments,high
F-0600-2019,Dairy,high
F-0600-2020,Nuts/Seeds,high
F-0600-2021,Dairy,medium
F-0600-2022,Produce,high
F-0600-2023,Bakery,high
F-0600-2025,Plant Protein,high
F-0601-2013,Grains/Cereal,high
F-0601-2014,Prepared/Frozen,low
F-0601-2015,Dairy,high
F-0601-2016,Dairy,high
F-0601-2017,Dairy,low
F-0601-2018,Spices/Condiments,high
F-0601-2019,Dairy,high
F-0601-2020,Dairy,high
F-0601-2021,Dairy,medium
F-0601-2022,Produce,high
F-0601-2023,Bakery,high
F-0601-2024,Produce,high
F-0601-2025,Plant Protein,high
F-0602-2014,Prepared/Frozen,medium
F-0602-2015,Dairy,high
F-0602-2016,Dairy,high
F-0602-2017,Prepared/Frozen,low
F-0602-2018,Food Additives/Ingredients,medium
F-0602-2019,Dairy,medium
F-0602-2020,Eggs,high
F-0602-2021,Dairy,medium
F-0602-2022,Produce,medium
F-0602-2023,Bakery,medium
F-0602-2024,Prepared/Frozen,high
F-0602-2025,Plant Protein,high
F-0602-3013,Grains/Cereal,high
F-0603-2013,Grains/Cereal,high
F-0603-2014,Seafood,high
F-0603-2015,Dairy,high
F-0603-2016,Dairy,high
F-0603-2017,Prepared/Frozen,low
F-0603-2018,Plant Protein,medium
F-0603-2019,Dairy,high
F-0603-2020,Eggs,high
F-0603-2021,Dairy,medium
F-0603-2022,Produce,medium
F-0603-2023,Bakery,medium
F-0603-2024,Dairy,high
F-0603-2025,Spices/Condiments,high
F-0604-2013,Produce,high
F-0604-2014,Seafood,high
F-0604-2015,Dairy,high
F-0604-2016,Dairy,high
F-0604-2017,Dairy,medium
F-0604-2019,Dairy,high
F-0604-2020,Eggs,high
F-0604-2021,Dairy,high
F-0604-2022,Produce,medium
F-0604-2023,Bakery,high
F-0604-2024,Prepared/Frozen,high
F-0604-2025,Bakery,high
F-0605-2013,Spices/Condiments,medium
F-0605-2014,Seafood,medium
F-0605-2015,Dairy,high
F-0605-2016,Dairy,high
F-0605-2017,Prepared/Frozen,low
F-0605-2019,Prepared/Frozen,high
F-0605-2020,Eggs,high
F-0605-2021,Dairy,medium
F-0605-2022,Produce,medium
F-0605-2023,Bakery,medium
F-0605-2024,Prepared/Frozen,medium
F-0605-2025,Bakery,high
F-0606-2013,Produce,high
F-0606-2014,Seafood,medium
F-0606-2015,Dairy,high
F-0606-2016,Dairy,high
F-0606-2017,Supplements,high
F-0606-2018,Prepared/Frozen,high
F-0606-2019,Prepared/Frozen,medium
F-0606-2020,Eggs,medium
F-0606-2021,Dairy,high
F-0606-2022,Produce,medium
F-0606-2023,Bakery,high
F-0606-2024,Prepared/Frozen,high
F-0606-2025,Bakery,high
F-0607-2013,Produce,high
F-0607-2014,Seafood,medium
F-0607-2015,Dairy,high
F-0607-2016,Dairy,high
F-0607-2017,Prepared/Frozen,medium
F-0607-2018,Produce,high
F-0607-2019,Prepared/Frozen,medium
F-0607-2020,Eggs,medium
F-0607-2021,Dairy,high
F-0607-2022,Produce,medium
F-0607-2023,Food Additives/Ingredients,high
F-0607-2024,Prepared/Frozen,high
F-0607-2025,Bakery,high
F-0608-2013,Produce,high
F-0608-2014,Prepared/Frozen,medium
F-0608-2015,Dairy,high
F-0608-2016,Dairy,high
F-0608-2017,Snacks/Candy,high
F-0608-2018,Produce,high
F-0608-2019,Prepared/Frozen,medium
F-0608-2020,Eggs,high
F-0608-2021,Dairy,high
F-0608-2022,Produce,high
F-0608-2023,Food Additives/Ingredients,high
F-0608-2024,Snacks/Candy,high
F-0608-2025,Bakery,high
F-0609-2013,Spices/Condiments,medium
F-0609-2014,Seafood,medium
F-0609-2015,Dairy,high
F-0609-2016,Dairy,medium
F-0609-2017,Snacks/Candy,medium
F-0609-2018,Produce,high
F-0609-2019,Prepared/Frozen,high
F-0609-2020,Eggs,high
F-0609-2021,Dairy,high
F-0609-2022,Produce,medium
F-0609-2023,Food Additives/Ingredients,medium
F-0609-2024,Produce,high
F-0609-2025,Nuts/Seeds,medium
F-0610-2013,Produce,high
F-0610-2014,Seafood,medium
F-0610-2015,Dairy,high
F-0610-2016,Dairy,high
F-0610-2017,Bakery,medium
F-0610-2018,Produce,high
F-0610-2019,Prepared/Frozen,medium
F-0610-2020,Eggs,high
F-0610-2021,Dairy,high
F-0610-2022,Produce,medium
F-0610-2023,Food Additives/Ingredients,high
F-0610-2024,Produce,high
F-0610-2025,Seafood,high
F-0611-2013,Produce,low
F-0611-2014,Seafood,medium
F-0611-2015,Beverages,high
F-0611-2016,Dairy,high
F-0611-2017,Snacks/Candy,low
F-0611-2018,Produce,high
F-0611-2019,Prepared/Frozen,medium
F-0611-2020,Eggs,high
F-0611-2021,Dairy,high
F-0611-2022,Produce,medium
F-0611-2023,Dairy,high
F-0611-2024,Produce,high
F-0611-2025,Seafood,high
F-0612-2013,Nuts/Seeds,high
F-0612-2014,Seafood,medium
F-0612-2015,Nuts/Seeds,high
F-0612-2016,Dairy,high
F-0612-2017,Prepared/Frozen,medium
F-0612-2018,Dairy,low
F-0612-2019,Prepared/Frozen,high
F-0612-2020,Eggs,high
F-0612-2021,Dairy,high
F-0612-2022,Produce,high
F-0612-2023,Grains/Cereal,high
F-0612-2024,Produce,high
F-0612-2025,Seafood,high
F-0613-2013,Snacks/Candy,medium
F-0613-2014,Seafood,medium
F-0613-2015,Seafood,high
F-0613-2016,Dairy,high
F-0613-2017,Seafood,high
F-0613-2018,Produce,medium
F-0613-2019,Prepared/Frozen,high
F-0613-2020,Eggs,high
F-0613-2021,Dairy,high
F-0613-2022,Food Additives/Ingredients,medium
F-0613-2023,Grains/Cereal,high
F-0613-2024,Produce,high
F-0613-2025,Seafood,high
F-0614-2013,Produce,high
F-0614-2014,Seafood,medium
F-0614-2015,Seafood,high
F-0614-2016,Dairy,high
F-0614-2017,Seafood,high
F-0614-2018,Produce,medium
F-0614-2019,Prepared/Frozen,high
F-0614-2020,Eggs,high
F-0614-2021,Dairy,high
F-0614-2022,Prepared/Frozen,low
F-0614-2023,Grains/Cereal,high
F-0614-2024,Produce,high
F-0614-2025,Seafood,high
F-0615-2013,Produce,high
F-0615-2014,Seafood,low
F-0615-2015,Beverages,high
F-0615-2016,Produce,medium
F-0615-2017,Prepared/Frozen,medium
F-0615-2018,Prepared/Frozen,low
F-0615-2019,Prepared/Frozen,high
F-0615-2020,Eggs,high
F-0615-2021,Dairy,high
F-0615-2022,Uncategorized,low
F-0615-2023,Grains/Cereal,high
F-0615-2024,Produce,medium
F-0615-2025,Seafood,high
F-0616-2013,Nuts/Seeds,high
F-0616-2014,Seafood,low
F-0616-2015,Produce,high
F-0616-2016,Bakery,medium
F-0616-2017,Spices/Condiments,medium
F-0616-2018,Produce,high
F-0616-2019,Prepared/Frozen,high
F-0616-2020,Eggs,high
F-0616-2021,Dairy,medium
F-0616-2022,Dairy,high
F-0616-2023,Snacks/Candy,high
F-0616-2024,Produce,high
F-0616-2025,Seafood,high
F-0617-2013,Nuts/Seeds,high
F-0617-2014,Seafood,low
F-0617-2015,Produce,high
F-0617-2016,Supplements,high
F-0617-2017,Snacks/Candy,high
F-0617-2018,Produce,high
F-0617-2019,Nuts/Seeds,high
F-0617-2020,Eggs,high
