recall_number,product_description,expected_category,sample_reason
F-0588-2020,"Frozen Yellowfin Tuna, Product of Vietnam,  Packaged under the following brands and cuts:     Tidal Seafood Tuna Round Steak, size 6 - 8 oz, Size 8 - 10 oz, pack 2X10 lbs; and     Sea Mart PREMIUM FROZEN YELLOWFIN TUNA LOINS 5-8 LBS IVP, 30 LBS; Sea Mart GRADE AAA FROZEN YELLOWFIN TUNA SAKU 12-16 IVP, 10 LBS; Sea Mart PREMIUM FROZEN YELLOWFIN TUNA STEAKS 8 OZ IVP, 10 LBS; Sea Mart GRADE AAA TUNA CUBE 0.8 OZ IVP, 10 LBS;     and PACIFICA FROZEN SEAFOODS, Tuna Round Steak Size 6 OZ IVP, 20 LBS; Tuna Round Steak Size 8 OZ IVP, 20 LBS;     J DELUCA FISH COMPANY, INC. TUNA LOIN CC 5 -8 LBS IVP, 30 LBS; TUNA CUBE SIZE 1 INCH IVP, 10 LBS; TUNA SAKU 10-12 OZ IVP, 10 LBS; TUNA SAKU 12-16 OZ IVP, 10 LBS; and     Packaged under the FULL MOON FISH Brand -  TUNA LOIN 1-3 LBS IVP, 30 LBS; TUNA LOIN 3 -5 LBS IVP 30 LBS; TUNA LOIN 5- 8 LBS IVP 30 LBS; TUNA STEAK 4 OZ IVP, 10 LBS; TUNA STEAK 6 OZ IVP, 10 LBS; TUNA STEAK 8 OZ IVP, 10 LBS; TUNA SAKU 8 -12 OZ IVP, 10 LBS; TUNA SAKU 12-16 OZ IVP, 10 LBS; FROZEN YELLOWFISH TUNA CUBE 2.8 CM IVP, 10 LBS; and     TUNA KING brand  -  TUNA LOIN 5 -8 LBS IVP, 30 LBS; TUNA MEDALLIONS 2-3 OZ IVP, 10 LBS; TUNA STEAK 4 OZ IVP, 10 LBS; TUNA STEAK 6 OZ IVP, 10 LBS; TUNA STEAK 8 OZ IVP, 10 LBS; TUNA SAKU 12-16 OZ IVP, 10 LBS; and     MiCal SEAFOOD Brand: Tuna Loins AAA 3-5LB IVP, 30lb; Tuna Loins AAA 5-8 LB IVP, 30 lb.; Tuna POKE AAA 1.5 cm IVP and 2cm IVP, 10 lb.; Tuna Steaks AAA, 4oz, 6oz, 8oz, 1 oz, 10 lb., IVP and Tuna Steaks AA 4oz, 6oz, 8oz, 10 oz,  10 lb.; Tuna Ground Meat AAA IVP, 10 lb.; Tuna Saku AAA 8-12 OZ IVP, 10 lb., Tuna Saku 12-16 oz IVP, 10lb.  .",Beef/Pork/Poultry/Game Meats,probe
F-1577-2022,Tovala Gochujang-Glazed Pork Chop Bowl meal No.9-A,Beef/Pork/Poultry/Game Meats,probe
F-1695-2022,"Select Bakery Gourmet Old Fashion Pound Cake Net Wt. 5 Oz (142g) Select Bakery, Inc., Rockwell, N.C. 28138 UPC 0 28598 10062 9",,stratified
F-0217-2023,"Members Mark Holiday Macarons 540g units in plastic trays, 10 units per case Keep frozen, refrigerate after opening UPC: 193968321123 Distributed by: Sam's West, Inc. Bentonville, AR 72716 Product of Canada",,stratified
F-1525-2019,"Will's Fresh Foods Macaroni Salad, All Natural;  A true Classic salad made astonishingly delicious - semolina pasta, real mayonnaise and crunchy vegetables;  NET WT. 12 oz.",,stratified
F-0159-2017,"Package contains a business card for ""***BAGEL SHOP***""    ""***JALAPENO BREAD ***  Filtered Water,Sea Salt, Olive Oil, Sugar, Flour, Yeast, Butter & Dried Jalapenos***""     plastic bag with twist tie.",,stratified
H-0339-2026,"Choceur Cookie Butter Holiday Bark. Standup Pouch Bag. 5 oz. (142g). UPC: 4069365095690. Wholesale unit is split case, with 9 of each item per case.",,stratified
F-0643-2014,"Garden-Fresh Mint Chocolate Chip Cookie Mousse,  Product Code 0 11596 55069 5,	1/5 lb",,stratified
F-2928-2017,Channel Brand - Approx 4OZ Raw Breaded Swai Fillet - Net WT. 10 lbs (4.54 KG),,stratified
F-3610-2017,Coborn's/Cash Wise American Rye Bread - UPC 7-33147-20150  Net Wt. 16 oz (1.0 lb) (454 kg) Sell by 9/7/2017,,stratified
F-1561-2017,"Fred Meyer 100% Whole Wheat Bread 16 oz plastic bag  DISTRIBUTED BY THE KROGER CO. CINCINNATI, OHIO 45202 UPC 0 11110 10294 2",,stratified
F-3044-2017,"A40008, BREADER X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",,stratified
H-0531-2025,Breadman Bakery; Multigrain 24oz. Baked for Breaman-Melrose Bakery Inc. UPC# 8 6000947952 4,,stratified
F-0447-2023,"Fresh Creative Cuisine White, Colby, Cheddar & Egg Muffin, Net . Wt. 5.5 Oz. Single Serving, Mylar Wrap, Keep refrigerated",,stratified
F-1539-2018,"Trader Joe's  Artisan Bread - Organic French Baguette;  (Brown and Serve) Keep frozen;  Product code 53835;  24 x 11.5 oz. (326g)  - 24 loaves per case.  UPC 0053 8350  Product of Canada    Manufactured by Groupe Premiere Moisson Inc., 189 Harwood, Vaudreuil-Dorion, Quebec, Canada     Distributed and sold exclusively by Trader Joe's, Monrovia, CA 91016",,stratified
F-0985-2016,Croissant Sandwich Platter.  This is a deli service item,,stratified
F-0806-2021,"Eat GANGSTER, Oatmeal Schmoatmeal Cookie Mix, 8.5 Oz, Eat GANGSTER LLC, Wichita, KS, UPC 0 51497 13952 0",,stratified
F-1790-2022,"Alida's Samoon Pita Bread, 4 pieces per package, net wt. 21 oz.  UPC 8 60004 65933 4.  Product contains ingredients: While Flour, Water, Wheat Gluten, Yeast, Sorbitan monostearate, ascorbic acid, Salt, Canola Oil. CONTAINS: Wheat, Gluten.",,stratified
F-3152-2017,"B14120, CRACKER MEAL, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",,stratified
F-1190-2022,ELITE WHITE CHOCOLATE WITH COOKIE PIECES	UPC: 815871015707	Net Wt. 3.53 oz (100g). Red packaging.,,stratified
F-2487-2017,"Item 10315 - WHITE WHOLE WHEAT LOAF BREAD, 20-SL>18CT/CS, Frozen, Net wt. 29.26 lbs. per case.",,stratified
F-0110-2016,"Sobisk Lemon Cream Cookies; Imported Exclusively by: Sobisk Foods, LLC, 110 W Baltimore Ave, Clifton heights, PA 19018; Product of India;;;  BEST BY: 1/31/2017    Net Wt: 11.04 oz package 10 Packs and/or    Net Wt: 9.1 oz. 8 Packs.",,stratified
H-0922-2026,"Cake de Capuchino [image] Capuchino Cake The Original, Net Wt. 63 oz, packaged in a transparent and rigid plastic clamshell container with a transparent dome lid and tray base, one unit per container. KEEP REFRIGERATED. UPC 824790850375",,stratified
F-0377-2018,"Little Caesar's Family Meal Kits, Paper cartons, Contains: 1 pizza crust( 12 x 16), 1 package of pizza sauce, 1 package of cheese, 1 package of pepperoni, 1 Crazy bread Cust (18 pc), 1 packet of garlic buttery sauce, 1 packet of parmesan cheese, and 15 break n bake chocolate chip cookies.",,stratified
F-0014-2018,"HAIOREUM, RICE PANCAKE, KOREAN STYLE SNACK 5.29 OZ (150 G), Matcha (Green Tea)",,stratified
F-2498-2017,"Item 10556 - EGG & CHEESE MUFFIN, I/W>50-CT/CS, Frozen, Net Wt. 13.89 lbs.",,stratified
F-1023-2024,Frothy Monkey - Spinach & Feta Croissant - packaged and sold individually,,stratified
F-0222-2024,"Quick & Fresh, Sausage Egg & Cheese Croissant, Net . Wt. 6.5 Oz. Single Serving, Mylar Wrap, Keep refrigerated",,stratified
F-1373-2016,"Organic Green Tea Hojicha, Net 16 kgs,   (bulk product 16 kg boxes with inner liner)",,stratified
F-0776-2016,"Dark Chocolate Covered Coffee Beans, packaged in 12 oz. tubs",,stratified
F-1475-2022,"Honey Caramels Cinna Honey. Net wt. 5.87 oz. PLU Code: 788394 12404 4.    Ingredients: Honey, butter (pasteurized cream & salt), cream, nonfat dry milk, whey, cinnamon oil, beet juice (color), lecithin, algin & agar.",,stratified
H-0041-2026,"Pears Halves in Pear Juice from Concentrate; NET WT 15 OZ (425 g); Ingredients: Pears, Water, Pear Juice Concentrate; Distributed By: Walmart Inc., Bentonville, AR 72716",,stratified
F-0761-2020,"Blendtopia Superfood Smoothie Kit Immunity flavor, 7 oz flexible pouch",,stratified
F-1683-2012,"Pear juice concentrate 70 Brix in 55 gallon steel drums with plastic liner that are filled to 52 gallons.  Labeled in part: ""CLAREX PEAR JUICE CONCENTRATE ""cRc-KOSHER""***52 GALLONS"" and ""TREE TOP***PEAR CONCENTRATE TYPE III***RESOURCE #: 4200815003***Selah, Wa. 98942***MADE IN USA***"".",,stratified
F-1645-2022,"Lyons Barista Style Soy Non-Dairy Beverage.  32 fl oz. (1QT) 946mL  UPC 0 45796-10181 4.    Sold in 12-count case UPC 10045796101811.    Lyons Magnus, Fresno, CA  93702.",,stratified
F-0683-2017,"Galliker's Lemon Iced Tea Flavored, 1 GAL and  Galliker's Lemon Flavored Iced Tea, 1/2 GAL",,stratified
F-1501-2024,"Black Coffee + Maple Syrup Canned Beverage packaged under the following brands and sizes:   1.  Mud LLC Maple Mud, 12 oz. UPC  8 54555-00705 8.",,stratified
F-0697-2023,Clio Strawberry Granola & Yogurt Parfait Bar Net Wt. 1.94 OZ (55g ) UPC: 854021008152 Packaged in a cardboard box.,,stratified
F-1307-2022,"Butter Buds Food Ingredients.  Butter Buds 8X Non-Dairy LD, Item 49380.   Sample Jars are 8 oz. and l lb. sized.  White poly jar with yellow cap",,stratified
F-1949-2013,"Human breast milk, pasteurized, 4 oz, in bottles;  Pasteurized Human Milk,Hospital Grade Milk.    Mother's Milk Bank  751 S. Bascom Abe.San Jose, CA 95128",,stratified
F-1667-2023,Mini Sorbet; parve; 9 PACK / SINGLE; UPC: 0-91404-15408-6,,stratified
F-2528-2015,Blue Bell Ice Cream Mocha Madness Still a 1/2 Gal (2 QTS),,stratified
F-1407-2022,Plant Based Yogurt Culina Plain & Simple Nt Wt 5 oz. (142 g) UPC 854724007087  packaged in glass container 12 jars per case,,stratified
F-1496-2016,"Ex-Seed Premium Creamy Liquid Shortening, Net Wt. 35 LB (15.88), Distributed by Oasis Foods, Inc. Hillside, NJ 07205, UPC 7 32146 18896 9",,stratified
F-0612-2016,"Pint Umpqua Dairy 4% Cottage Cheese, item no. 04308, Net wt. 16 oz. UPC 0 71203 00248 1    24 oz. Umpqua Dairy 4% Cottage Cheese, item no. 04286, UPC 0 71203 00255 9.    3 lbs.  Umpqua Dairy 4% Cottage Cheese, item no. 03980, UPC 0 71203 00280 1.",,stratified
F-1141-2017,"Smoked Farmers Cheese, Chapel Hill Creamery, Chapel Hill, NC 27516.",,stratified
F-2142-2014,"Pretzel Logic Ice Cream, Manufactured by: Koogee-Queen Anne, LLC, d/b/a The Comfy Cow 2221 Frankfort Ave, Louisville, KY 40206.",,stratified
F-1703-2019,"DAISY ORIGINAL SOUR CREAM - 24OZ, UPC: 7342000024",,stratified
F-0769-2025,"Bonya Raspberry Yogurt Parfait, 8oz, Plastic cups with plastic inserts for granola, 6 units per case for distributors, 12 units per case for all other customers, Always Refrigerate .",,stratified
F-3107-2015,"Double-Toasted Coconut Ice Cream Bucket, 349, Jeni's Splendid Ice Creams, LLC, 3 gallons, plastic bucket, individually packed, frozen.    Double-Toasted Coconut Ice Cream Pint Case, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, 8 pints per case, frozen.    Double-Toasted Coconut Ice Cream Pint, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, individually packed, frozen.",,stratified
H-0755-2026,Loard's Vanilla Ice Cream - 32 oz; 56 oz,,stratified
H-0308-2026,Pasteurized Donor Human Milk in 4 ounce/120 ml clear plastic bottles.  The bottles have a foil seal and are capped with a green lid. Bottle size:  120ml,,stratified
F-0982-2019,BELGIO CHEESE PROVOLONE MED PICCANTE¿,,stratified
F-1462-2015,"5.5% Chocolate Ice Cream Mix, sold under Snoqualmie brand. Product is sold in 2.5 gallon clear flexible plastic bags. No UPC.",,stratified
F-1480-2012,"KERRY, CHEDDAR CHEESE, CONTAINS MILK, 701183, R-SE-0056 , Item Number 701183.465, Net Wt 50 Lb (22.68 Kg)",,stratified
F-3146-2015,"Torrone Ice Cream Bucket, 378, Jeni's Splendid Ice Creams, LLC, 3 gallons, plastic bucket, individually packed, frozen.  Torrone Ice Cream Pint Case, 278, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, 8 pints per case, frozen.  Torrone Ice Cream Pint, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, individually packed, frozen.",,stratified
F-1173-2017,"ITALIAN SUB Net Wt 5.5 oz (155g) Smoked ham, hard salami, pepperoni with provolone cheese on an Italian bun KEEP REFRIGERATED UPC 6 42984 67597 5",,stratified
F-2981-2015,"Frozen Jamba, All Natural Smoothies, Razzmatazz, Strawberry, Raspberry and Blueberry with Non-Fat Yogurt, Makes 2-8oz, Net Wt. 8oz (227.2g), Smoothies, packed in plastic pouches, Distributed by: Rader Farms, Inc.",,stratified
F-0335-2023,"Ube Ensaymada, UPC 6658266481. Product is packaged in plastic clear clamshell container and there are 4 pieces per container. Ingredients: Cream Cheese, Cheese, Butter, Milk, Sugar, Salt, Water, Yeast, Flour, Egg. Joy Joy s Bakery contact information: (253) 507-5259, 11107 Pacific HWY SW Lakewood, WA 98499.",,stratified
F-1859-2013,Butter (salted).  8oz round clear plastic tub and 5 gallon pail.  UPC Code 7 93573 09802 3.,,stratified
F-2181-2014,Walnut Creek Marble Cheese-- 6lbs of cheese in plastic bags; 4 per case,,stratified
F-2894-2015,"Flavored Pasteurized Prepared Cheese Product:    MEIJER 12/12OZ  MONTEREY PEPPER JACK SINGLES PASTEURIZED PREPARED CHEESE PRODUCT,1928313223.",,stratified
F-0110-2014,"WHITE LILY¿ ENRICHED WHITE Cornmeal MIX SELF-RISING NET WT 32 OZ (2 LB) 907g Paper Bag Mfg Code 3135 511 BEST IF USED BY: 15-JAN-14 Product labeled in part, INGREDIENTS: ENRICHED WHITE CORN MEAL, WHEAT FLOUR AND DEGERMINATED WHITE CORN MEAL***BAKING POWDER***SALT***CONTAINS: WHEAT INGREDIENTS MAY CONTAIN MILK INGREDIENTS***DISTRIBUTED BY: THE WHITE LILY FOODS COMPANY 4740 BURBANK ROAD, MEMPHIS, TN 38118***0 13300 02281 7",,stratified
F-2374-2012,"Bulk Foods, Inc. Yellow Corn Meal, Regular Roast, 25 lb; Bulk Foods, Inc. Yellow Corn Meal, Regular Roast, 50 lb",,stratified
F-0858-2013,"Hemp Plus Granola.  The product is packaged in a 25 lb. container.  The UPC is 0 58449 88001 1.    The product is labeled in parts: ""***HempPlus Granola***INGREDIENTS: Organic rolled oats, organic evaporated cane juice, organic soybean oil, organic brown rice flour, organic flax seeds, organic hemp seed, organic oat syrup solids (organic oat syrups solids, tocopherol, sea salt, organic molasses***25 lb.***Nature's Path Foods, Blaine, WA 98230***www.naturespath.com***"".",,stratified
H-0507-2026,"Karison brand NO SUGAR ADDED BESAN LADDOO; Ingredients: Gram Flour, Butter, Zero Trans Fat Vegetable Shortening (Hydrogenated Soybean Oil), Pistachio, Almonds, Sweetener with Nutrasweet; UPC: 8 97397 00221 5; Distributed By: Karison Foods & Snacks, Inc, 34 Willowdale Ave., Port Washington, N.Y. 11050; NET WT. 12 oz.; Manufactured in a facility that processes Milk, Eggs, Soybean, Tree nuts, Wheat, Peanuts and other Nuts. Product is packaged in clear plastic containers, 12-(12 oz) units/case.",,stratified
F-1752-2014,i heart keenwah Cranberry Cashew All Natural Quinoa Clusters.    UPC 736211802545 for the 4 oz  UPC 713757598309 for the 1 oz,,stratified
F-1574-2019,GWB Special Flour Bulk  Product Code 803011,,stratified
F-0263-2021,"Lancaster Veggie Rice Blend, 15 Ounces, in a stand-up steam pouch with 'grab & steam' printed on the header, UPC 8 13055 01014 2",,stratified
H-0256-2025,"C Sweet Ghouribeh with Pistachios 7 oz., UPC 852664042755",,stratified
F-2026-2014,"GSF LLC Shelled Walnuts, Kernel Combo Halves & Pieces, 15% New Wt. 25 lbs. GSF LLC, Visalia, CA 93290",,stratified
F-1112-2022,JIF NATURAL PEANUT BUTTER  packaged in 0.64oz and 96 count,,stratified
F-0689-2013,"Peanut Butter Pave, UPC code 693868102117 & 69386905312, in the following sizes:   1) 5 Piece Peanut Butter Pave, 63 Grams per pack, 12 Packs per case.  2) 2 Piece Peanut Butter Pave, 26 Grams per pack, 10 Packs per case.  3) Bulk Peanut Butter Pave, 415 Grams per pack.",,stratified
F-0950-2024,Quaker Chewy Bars Less Sugar Peanut Butter Chocolate Chip 8ct 6.7 oz. Bars are individually wrapped in plastic and then packaged in paperboard boxes.,,stratified
F-1050-2018,"Midwest Northern Nut BBQ Blues Mix.  Packaged in the following sizes:    1.  Net Wt. 16 oz. (454G), UPC 38043-90084.    2.  Net Wt. 5 lbs.    Midwest Northern Inc., Minneapolis, MN  55118",,stratified
F-0756-2017,"Peanut Butter Fudge, brand Real Fudge. Product is sold in clear plastic deli container in 8, 12, and 16 oz.",,stratified
F-1338-2017,"Gonsalves Sugar Coated Almonds, Net Wt. 12 oz.  Distributed by The Gonsalves Company, Smithfield, RI 02917    UPC number 20539-64550",,stratified
F-0552-2015,"MaraNatha No Stir Creamy Almond Butter, 12 oz., UPC 51651093682;  MaraNatha No Stir Creamy Almond Butter, 340 grams, UPC 51651093453;  Kroger No Stir Creamy Almond Butter, 12 oz., UPC 11110791214;",,stratified
F-0542-2013,Sunland Shelled Raw Valencia Peanuts 3 lb UPC 0-48687-13212-6.,,stratified
F-0285-2025,"Impossible Spicy Ground Sausage Meat from plants 14oz chub, UPC 8 16697 02109 5; 8 retail chubs per case",,stratified
F-1411-2018,"Shelled Eggs, Extra Large 18pk sold under the brand names of Publix UPC 0 41415 00966 0 & Sunups UPC 0 28621 36398 4",,stratified
F-0364-2020,PIZZA PESTO GREEN VEGGIE  served on the salad bar,,stratified
F-0265-2025,"CIBUS Fresh, Jack & Olive, Sprig and Sprout branded Autumn Turkey Sandwich 9.65oz UPC 00810028251915",,stratified
F-2505-2017,"Item 11920 - VEGAN PBJ LUNCH>36TRAYS/CS, Frozen, Net. Wt. 33.78 lbs. per case",,stratified
H-0258-2026,Deep-brand Premium Select Punjabi Tinda KEEP FROZEN Net Wt. 12 oz. (340 g),,stratified
F-1570-2019,Dellalo HG Pizza Flour 50lb bags  Product Code 845212   Lot#: 8344BF,,stratified
F-0892-2022,"Fresh Creative Foods PLANT BASED CHICKEN CHIPOTLE PASTA SALAD KIT 2/5.8125 LB  UPC: 10013454381820 Item # 404996 Kit Components: 2/4.5 lb. tubs of Chipotle Pasta Salad; 2/15 oz. bags of plant based chipotle seasoned protein strips 2/5 oz. bags of shredded cheddar cheese  distributed by: Fresh Creative Foods, Vista, CA 92081",,stratified
F-0007-2024,LuLu Chinese Express Korean Noodles (Japchae) w/ Vegetables. Net Wt 16oz.,,stratified
F-0574-2020,Jeni's Dairy Free Cold Brew with Coconut Cream Pints frozen dessert,,stratified
F-0379-2017,Frontera Texas Original Taco Skillet Sauce with mild red chile + cumin 8 oz. pouch,,stratified
F-1444-2017,"Spaghetti Soup; Annie's Kitchen, 2966 Stumptown Rd, Ronks, PA 17572   16 FL OZ",,stratified
H-0094-2026,"Basil Pesto Bowtie Pasta Salad, packaged in plastic containers with various weights, with UPC 217573-1XXXX (sold at deli service counters) or UPC 217573-2XXXX (sold as Grab-n-Go packages in deli departments), under the banners Kroger, Baker's, City Market, Dillons, Fred Meyer, Fry's, Gerbes, King Soopers, Payless, Ralphs and Smith's",,stratified
F-0764-2016,"Morning Star Disaster Supplies Quick Meal  Mexican Corn Soup Mix Net Wt. 8.1 oz (230g)., Foil Bag.  UPC 853328-006090      Wilderness Family Naturals  Quick Meal  Mexican Corn Soup Mix., Net Wt 8.1 oz (230 g)., Foil Bag. UPC 898392-007949",,stratified
F-0268-2022,TaDah! FALAFEL STREET WRAP WITH SPICY BROWN SUGAR HARISSA HUMMUS NET WT. 7.5 OZ. UPC Code:8-5019800307-5,,stratified
F-0621-2023,"Wonton wrappers, 4"" x 4"" and 3.5"" x 3.5"", packaged in 30lb. corrugated (cardboard) boxes. Product is sold frozen.",,stratified
F-1862-2015,"Gala Apples ""Big B"";    sold in 40-45 lb. cases with cardboard trays or  in 3 lb. poly bags (~12 apples). 5 lb. poly bags (~ 18 apples) and loose fill TriWall containers ~ 700 lbs.    Bidart Bros., Bakersfield, CA 93312",,stratified
F-0634-2022,"Natural Way Cheese Horseradish Cheese Curds, retail 12oz plastic bag UPC 8 10056 75106 7, 12 retail units per wholesale case",,stratified
F-1578-2012,"The Farmers Market brand Romaine Garden Salad Blend, 12 oz bag, UPC:  30034-30220; Product is a salad item; bagged in clear polyethylene film (foodservice) and polypropylene/polyethylene (retail). Refrigerate and consume within Best By date. Product is processed and packaged by River Ranch Fresh Foods, LLC, Salinas, CA",,stratified
F-2195-2016,"Product labeled in part  ""Trader Joe's Kale & Edamame Salad with sweetened dried cranberries, grape tomatoes, almonds, scallions and lemon herb dressing, Net Wt. 10 oz (284g)"" packaged in a clear plastic 10 oz container with yellow sticker and green lettering.",,stratified
F-1069-2022,"Yes! Enoki Mushrooms;  Pesticide Free Produce: Vacuumed packed.  Product of China  UPC: 825382736947  Net Wt 200g/7.05 oz  Distributed by YES Produce City of Industry, CA 91746",,stratified
F-0723-2017,GFS Cheese Manicotti in tomato sauce.  retail 68 oz. pan.  4 retail units per case,,stratified
F-0666-2016,"50/50 mix, 5.5 oz. bag - Kroger;  50/50 blend, 10 oz. bag - Dole      All marketed Dole and private label salads produced in the Springfield, OH facility.  Product may be identified by an A in the upper right hand corner of the package.",,stratified
F-0610-2022,"""Twisted Chopped Greek Caesar"" (salad product) packed in 9.3oz. packages",,stratified
F-0274-2020,"Brussel Sprouts    Mann  6 x 12 oz. UPC: 716519010354  SS and Canada    6 x 9 oz. UPC: 716519067013 MNN, MCC    4 x 2 lbs. UPC: 716519020308 - SS",,stratified
F-1089-2020,"Giant Eagle Chopped Sunflower Crisp Salad Kit 11.1 oz., UPC 030034923396, Cabbage, kale, lettuce & carrots",,stratified
F-1998-2012,"Yellow onions:  Whole peeled, packaged in 10-lb. plastic bags, 1 per case (item 19530).      The firm name on the label is Cool Creations, LLC, North Kansas City, MO.",,stratified
F-0618-2024,Malichita/Z Farms Cantaloupes 35 to 40 lb. cartons sold by piece count.,,stratified
F-0730-2018,"Wienke's Market Raspberry Rhubarb Jam, Net Wt. 8 oz (226g), UPC 14106-00229.    Refrigerate after opening.  Ingredients:  raspberries, rhubarb, sugar, pectin.",,stratified
F-1270-2018,Grown in Idaho Crispy Potato Puffs    UPC: 43301611636    Target item number:  270-1-23,,stratified
F-2387-2012,"Starbucks¿ Seasonal Harvest Fruit Blend, 6oz, UPC 6211171390, Use by dates 8/22/2012 through 9/7/2012 and 9/4/2012 & 9/5/2012.",,stratified
F-1984-2012,"Southern Home Cranberry Nut Antioxidant Blend, Trail Mix, Net Wt. 16oz. (1 LB) 454g, Distributed by Southern Home, P.O. Box 99, Mauldin, SC 29662.",,stratified
F-0152-2013,#805 Salad - No Meat Asian	3/4 pounds,,stratified
F-1754-2022,"Strawberry, Blueberry, and Blackberry packaged in the following brands and sizes:   1.  Item 80610.  Triple Berry Blend  Net Wt. 14 oz.  Crazy Fresh 2.  Item 80867.  Triple Berry Blend  Net Wt 20 oz.  Crazy Fresh,  quick & easy, and grocery store branded.   3.  Item 89272.  Berry Bliss  Net Wt. 16 oz. Kowalski's Markets",,stratified
F-1567-2018,"Terry's Potato Salad, Packaged into the following sized containers:    1.   Net Wt. 30 lbs. (13.68kg), Mfg No. 20117, UPC 10032345201177.     2.  Net Wt. 5 lbs. (2.27Kg), Mfg. No. 21080, UPC 10032345190808  Keep Refrigerated between 35 - 38 F.  MFG by Dawn's Foods, Portage, WI  53901",,stratified
F-1114-2020,"Little Salad Bar Garden Salad 12 oz.,UPC 4099100082975,  Iceberg lettuce, carrots & red cabbage",,stratified
F-0489-2014,"Garden-Fresh German Potato Salad, Product Code 0 11596 91020 8, 2/5 lb.;  Garden-Fresh German Potato Salad, Product Code 0 11596 14017 9, 12/16 oz.;  Garden-Fresh German Potato Salad,  Product Code 0 11596 34319 8, 4/3 lb.    Grandpas German Potato Salad, Product Code 0 11596 14016 2, 12/16 oz.;  Grandpas German Potato Salad , Product Code 0 11596 91023 9, 2/5 lb.;    Dominick's Grandpas German Potato Salad,Product Code 0 11596 14016 2, 12/16 oz",,stratified
F-2427-2014,"Marjon Kale Sprouts, Keep Refrigerated. NET WT. 6/3 oz. packaged in cups; Marjon Specialty Foods, Inc. 3508 Sydney Rd., Plant City, FL 33567 Grown and Packed in the USA. UPC 20077554000231. Used by 7/06/14.",,stratified
F-1172-2022,"POTATO YUKON W/SKIN 1/16""4/5 A (01)10886810715412(10)0016088347 71541 Best if used by: 04/01/22, 04/02/22, 04/04/22, 04/05/22, 04/07/22, 04/08/22, 04/12/22, 04/14/22, 04/15/22, 04/23/22, 04/28/22 Ingredients: Potato, Sodium Metabisulfite",,stratified
H-0259-2025,"SHOPPERS VALUE FRUIT COCKTAIL in HEAVY SYRUP, Net Wt. 22.5lbs, 24/15 OZ Cans per case.",,stratified
F-0539-2023,"Fresh Creative Cuisine, Fresh Cut Tropical Fruit, Net . Wt. 7.25 Oz. Single Serving, Keep refrigerated",,stratified
F-0339-2025,a.) King Kullen brand Mango; UPC: 85316-10377; 12 oz plastic container b.) King Kullen brand Mango Spears; UPC: 85316-10387; 16 oz plastic container c.) Wild by Nature brand Mango; UPC: 85316-10377; 12 oz plastic container d.) Gracie's Kitchen brand Mango Spears; UPC: 85316-10337; 16 oz plastic container e.) Gracie's Kitchen brand Mango Cup; UPC: 85316-10323; 12 oz plastic container f.) Gracie's Kitchen brand Mango Chunks; UPC: 85316-10352; 16 oz plastic container g.) Gracie's Kitchen brand Magno Cup; UPC: 85316-10377; 12 oz plastic container,,stratified
F-1189-2014,"Reser's Turkey Salad Dressing Kit, Formula KI.33, packaged in 6/3.375-lb carton cases. Reser's Fine Foods, Inc., Beaverton, OR.",,stratified
F-3346-2017,Wholesome Pantry Cape Cod Cranberry Mix 8oz.,,stratified
F-1025-2014,"Dairy Fresh,	Red Skin Potato & Herb,	1/5 lb.,		0 70163 53370 7,	12/3/2013 - 12/10/2013;",,stratified
F-1254-2023,"Trader Joe s Organic Tropical Fruit Blend Pineapple, Banana, Strawberry, Mango, SKU #051191, packaged in pillow bags. Each case consists of 24 bags and each bag is 16 oz.  UPC on retail bag: 00511919",,stratified
F-0675-2016,"Sweet Baby lettuces,  5 oz. clamshell, Dole brand. .       All marketed Dole and private label salads produced in the Springfield, OH facility.  Product may be identified by an A in the upper right hand corner of the package.",,stratified
F-0676-2015,"Whole Foods Market Peaches, UPC/PLU 21085000000",,stratified
F-1731-2017,"Sunrise Brand Dehydrated Anchovy size 3/5cm - 100 x 3.5oz, Item No. C0161, UPC 2 08 54336-20161 9",,stratified
F-1360-2014,"The refrigerated vacuum packed hot smoked oysters, Teriyaki flavor, is sold in 2.5 oz. or 4 oz. packages. There is no UPC for this product.    The product main label is read in part ""***T&S OYSTER FARM NETARTS BAY***SMOKED OYSTERS***NET Net Weight 4 oz (113g) ***PERISHABLE KEEP REFRIGERATED AT OR BELOW 38***Cert. # OR-179-SP 703 Ivy st. Tillamook OR 97141***"".    Sticker is placed on the package to identify the ""TERIYAKI"" flavor.",,stratified
F-2511-2014,"Supreme Choice brand Colossal, 16 oz;  Premium Pasteurized Crab Meat.  Product of Thailand.  Distributed by Supreme  Lobster and Seafood Company, Villa Park, IL 60181",,stratified
F-0048-2013,"HT Premium Lobster Cake (fresh), 3 oz @ 2x8ct, Net Wt: 3 lbs, Packed by 3fish, Inc.",,stratified
