recall_number,product_description
F-0094-2015,"Serrano Chili, 38 lbs."
F-1907-2014,"Pastene ITALIAN PAPPARDELLE ,16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7092  UPC: 066086070924"
F-0497-2015,"Vanilla Pro-Med. 100, Vanilla Pro, High Protein Instant Shake, Net Weight .0935 oz, Distributed by Our Life Health, Savannah, GA"
F-1621-2014,"Mandarin Orange Tozzetti Biscotti - individually wrapped in cellophane.  Product is sold under Tonia's Biscotti brand, net wt. 2 oz."
F-1335-2015,CTI Light Chili Powder 50# Item Code: CT 411
F-1900-2014,"Pastene ITALIAN RIGATONI   #31 , 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7083  UPC: 066086070832"
F-1344-2015,Carne Guisada FG 14.5lb. Item Code: JB1360
F-1791-2014,"Vanilla Sundae Cup.    Helados La Tapatia  Fresno, CA 93706"
F-2332-2014,"Organic Carob Powder, Net Wt. 55lbs (25kg), Product Code: CAROB-100"
F-0576-2015,"Kerry 52-0197-02, , Net Wt 39.7 lbs (18.00 Kg), B18516.01."
F-0516-2015,"U-TA-NE Toast, Net Wt 20 oz.. (1.25 lb)   99 Ranch Market  338 Barber Ln,  Milpitas, CA 95035"
F-1910-2014,"Pastene ITAL LONG FUSILLI ,16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7098  UPC: 066086070986"
F-0508-2015,"Raw Serrano Peppers packed in white cardboard box with label reading: John Vena, Inc. Serrano 5 lb  Product of Mexico  Packed by John Vena, Inc. Philadelphia, PA 19153  101570 or 101619"
F-1288-2015,Triple Citrus Italian Ice.    Product can be packaged in 2.5 gallon or 1.5 gallon plastic tubs or cardboard quart container.  Firm is unable to determine how batches were packaged.
F-0538-2015,"Alfalfa seed:  Organic, Alfalfa, NOP Oregon Tilth, Net Wt. 55 LB, International Specialty Supply"
F-0956-2015,"CARROLL SHELBY'S ORIGINAL TEXAS BRAND CHILI KIT, NET WT. 4 oz. (113 g), Dist. by Reily Foods Company, New Orleans, LA  70130, 1-800-535-1961, UPC  0-00-72396-10000-8"
F-0958-2015,"WICK FOWLER'S FAMOUS TEXAS STYLE 2-ALARM Chili Kit, NET WT. 3.6525 oz. (102g), Dist. by Reily Foods Company, New Orleans, LA  70130, 1-800-535-1961, UPC 0-00-71092-00069-8"
F-1815-2014,"Manhattan Tropical for  Canada 4 oz. HLT..     Helados La Tapatia  Fresno, CA 93706"
F-2016-2015,RICOS Tostaditos Vegetal Skins Imitation Rinds Chicharron Vegetal Hot Crispy and Delicious Net Wt. 3/4 oz. (21g)
F-0098-2017,Lecithin Reishi Complex soft gels
F-2255-2014,"Ginseng Power, Blister Packs"
F-2262-2014,"Una De Gato, 225cc HDPE Bottle"
F-1694-2014,Kinnikinnick Original Homestyle Waffles 210 g/7.4 oz Cardboard Box UPC 620133001981
F-2077-2014,"Kirkland Signature Coarse Ground Malabar Pepper, 12.7 oz Plastic Jars, UPC 096619164998.    Packaging includes a PET bottle.  The lid is made of Polypropylene and contains a tinplate insert and a Polypropylene five-hole cap. The label on the jar is a rectangular label (front and back) information is superimposed over an antique map in various shades of brown."
F-2279-2014,"Longetivity Plus, Bottles"
F-1816-2014,"Diced Dry Bean Curd.  Manufactured by: E Won Trading Company, LTD.  Distributed by: Win Luck Trading Co. LLC, 100 Pulaski Street, Bayonne, NJ 07002.  UPC 4716670715248.  10.58 oz (300g) plastic bag."
F-0503-2015,"Chiclets Gum, 200 - 2 piece packs (400 pieces), Retail UPC 0 12546 02509 6, Case UPC 10012546108499"
F-0445-2017,"SAUER'S CHILl POWDER, 2.25 oz."
F-2085-2014,"Humei Foods DRIED LILY, Net Wt. 340 g 12 oz +- 5 g -- PRODUCT OF CHINA --- Firms on label: Shanghai Dingmei International Trade Co., LTD, Add: Room 516B, No. 1218, Walma Road, Shanghai, China 200011 Tel: 86 21 33761911 Fax: 86 21 33761933 -- Shanghai Huipu Food Co., LTD,  Add: No. 4545, Daye Highway, Fengxian, Shanghai, China 201404 Tel: 86 21 57488229 Fax: 86 21 57489557 -- Distributed By: Humei Trading INC (New York), Add: 1811 Neck Road, Brooklyn, NY 11229 Tel: 1 646 708 6758 --- Nutrition Facts: Serving Size 50 g, Serving About 3"
F-2331-2014,"Jody's, Breast Cancer Awareness Kettle Corn; Net Wt 3oz  in clear cellophane bag."
F-1897-2014,"Pastene  ITALIAN ZITI RIGATI  #20,  16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7079  UPC:066086070795"
F-0539-2015,"Alfalfa Seed in plastic lined bags labeled in part *** VNS Alfalfa, NET WT. 25 KG Lot SAL2-3BJ Product of AUSTRALIA, International Specialty Supply ***"
F-1985-2014,"Gavina Northwest Blend Dark Whole Bean Bag Net Wt. 5lb,     Product label reads in part ""***085895***DECAF EUROPEAN BLEND 5LBS WHOLEBEAN BAG***"""
F-0500-2015,"1) Chiclets Peppermint Gum,  6-10 piece packages (60 pieces), Retail UPC 0 12546 10105 9; 2)Chiclets Peppermint Gum, 20 - 12 piece packages (240 pieces), Retail UPC 0 12546 02501 0, Case UPC 1001254 3)Chiclets Peppermint Gum, (12 pieces), Retail UPC 0 12546 10128 8; 4)Chiclets Peppermint Gum, 7-6 PAK packages (420 pieces), Retail UPC 0 12546 02601 7, Case UPC 000125461010"
F-1895-2014,"Pastene ITALIAN SPAGHETTI    #15,  16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7075  UPC: 066086070757"
F-0922-2015,"Single Hot Dog w/Chili, Net Wt., 3.10 oz., UPC 7-01248-00800-0, MFG Code 285"
F-0693-2015,"Whole Foods Market Parfait, UPC/PLU 20642800000"
F-0010-2015,"Hostess Powdered Single-Serve Donettes, 3 oz., 6 ct."
F-2227-2014,"Malt-O-Meal Frosted Flakes, item number 00955, UPC 42400-00955.  Net Wt. 2.00oz (56g)"
F-0703-2015,"Margaret Holmes, Turnip Greens, 14.5 oz, Distributed by McCall Farms, Effingham, SC"
F-0446-2017,"SAUER'S HOT CHILl POWDER, 2.25oz."
F-2437-2014,"Rainbow Vibrance Hi ORAC Superfood, 177g, 6.24 oz.  Product Code: RV"
F-1685-2014,"L-Citrulline, bulk product, 25 kg"
F-1891-2014,"Pastene REGINE 10, 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number: 7064  UPC: 066086070641"
F-2276-2014,Nano Papa
F-2285-2014,"Via-Max Gold, Blister packs"
F-1880-2014,"1) Frontier Natural Products Co-op, Whole Black Peppercorns, Certified Organic, Piper nigrum. Net 11.3 Kg 25 LB. Packaged in corrugated cardboard boxes. Firm name on the label is Frontier in Norway, IA. UPC 0-89836-82603-9.;  2) Frontier Natural Products Co-op, Whole Black Peppercorns, Certified Organic, Piper nigrum. Net 453 g 16 OZ. Packaged in foil pouches. Firm name on the label is Frontier in Norway, IA. UPC 0-89836-02603-3;  3) Frontier Natural Products Co-op, Black Peppercorns Whole. Net WT. 2.12 OZ (60 g). Packaged in glass jars. Distributed by Frontier Natural Products Co-op, Norway, IA. UPC 0-89836-18435-1;   4) Simply Organic, black peppercorns. NET WT. 2.65 OZ. (75g). Packaged in glass jars. Distributed by Frontier Natural Products, Norway, IA. UPC 0-89836-18524-2.;  5) Simply Organic, Adjustable Grinder Cap, daily grind. NET WT. 2.65 OZ. (75g). Packaged in glass jars with a grinder cap. Distributed by Frontier Natural Products, Norway, IA. UPC 0-89836-19218-9.;  6) Simply Organic, black peppercorns, poivre noir en grains. NET WT. 2.65 OZ. POID NET 75g. Packaged in glass jars. Manufactured by Frontier Natural Products, Norway, IA. UPC 0-89836-19210-3.;  7) Simply Organic, Adjustable Grinder, Broyeur R¿glable, black peppercorns, poivre noir en grains. NET WT. 2.65 OZ. POID NET 75g. Packaged in glass jars. Manufactured by Frontier Natural Products, Norway, IA. UPC 0-89836-19218-9.;  8) 365, Black Peppercorns, NET WT 1.87 OZ (53g). Packaged in glass jars. Distributed by Whole Foods Market, Austin Texas. UPC 0-99482-44497-6;  9) 365, Black Peppercorns, NET WT 2.12 OZ (60g). Packaged in glass jars. Distributed by Whole Foods Market, Austin Texas. UPC 0-99482-44563-8.;  10) 365, Black Peppercorns, NET WT 8.08 OZ (229g). Packaged in glass jars. Distributed by Whole Foods Market, Austin Texas. UPC 0-99482-44511-9.;  11) 365, Organic Black Peppercorns Grains de Poivre noir biologique, 60g (2.12 OZ). Packaged in glass jars. Distributed by Whole Foods Market, Austin Texas. UPC 0-99482-73914-0;  12) Nature's Place Organic, Black Peppercorns, NET WT. 2.26 OZ (64g). Packaged in glass jars. Distributed by DZA Brands, LLC in Salisbury, NC. UPC 7-25439-95273-6;  13) Meijer Organics, Black Peppercorns, NET WT. 2.26 OZ (64g). Packaged in plastic jars. Item number ME81732. UPC 7-13733-78173-2;"
F-1310-2015,Adams Reserve Southwest Rub Net Wt. 4.79 oz (136g) UPC: 041313045746
F-0520-2015,"Pineapple Toast, Net Wt 20 oz.. (1.25 lb)   99 Ranch Market  338 Barber Ln,  Milpitas, CA 95035"
F-0097-2017,Super Lecithin Complex soft gels
F-1271-2015,Special Order (Other)Sherbet.  Product can be packaged in 2.5 gallon or 1.5 gallon plastic tubs or cardboard quart container.  Firm is unable to determine how batches were packaged.
F-1605-2014,Dark Meat Fajita School Lunch #3
F-2172-2014,"CTF Brand Tapioca Pearl Net Wt: 14 oz. (400G.) Exporter: Combine Thai Foods Co., Ltd. 359/716-17 Spot Chalaem Nimit, Chalaem Nimit Rd. (Pradu 1) Bangkro, Bangkholaem, Bangkok 10120 Thailand Product of Thailand UPC 8851381560506"
F-0524-2015,"Red Bean Toast, Net Wt 20 oz.. (1.25 lb)   99 Ranch Market  338 Barber Ln,  Milpitas, CA 95035"
F-2416-2015,"Max powder in Ziploc-type freezer bags in 500 g increments, no product label"
F-2179-2014,Echinacea Angustifolia Root PE 4:  The product is in powder form extracted from the Echinacea root packed in varying size lined cardboard boxes containing 10 kg or 25 kg.
F-2245-2014,"Gold, Blister Packs"
F-1376-2015,Jardine's FOUR BANDITOS SAMPLER in cardboard box with black and red graphics
F-1898-2014,"Pastene ITALIAN FUSILLI  #28,   16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7081  UPC: 066086070818"
F-2177-2014,Echinacea Agustifolia Root PE 4:1    The product is in powder form extracted from the Echinacea root packed in varying size lined cardboard boxes containing 10 kg or 25 kg.
F-0514-2015,"Taro Toast, Net Wt 20 oz.. (1.25 lb)   99 Ranch Market  338 Barber Ln,  Milpitas, CA 95035"
F-1894-2014,"Pastene ITAL CAPELLI D'ANGELO #83, 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7074  UPC: 066086070740"
F-2334-2014,"Ciranda Organic Carob Powder Light, Product Code 20030.  Net Wt.  55.11 lbs / 25 kg.  Ingredients:  Organic Carob Powder.  Manufactured in Italy."
F-2532-2014,Goya Small Red Beans  Habichuelas Coloradas Pequenas 15.5 OZ (439g)
F-2436-2014,"Green Vibrance, 240 Vegicaps/bottle  Product Code: GVC"
F-2304-2014,"Allegro Original Marinade, 12.7 fl oz (375 mL), UPC 0 74964 00100 7"
F-2060-2014,"Lacteos Santa Martha Quesito Casero Fresh Curd Net Weight 12oz  Distributed by Oasis Brands Inc., Miami FL 33192"
F-1987-2014,"Organic Carob Powder;  Certified Organic, Product of Italy.  Store in Cool, Dark place.    Packaged in 16 oz., 5 lb., 20 lb and 55 lb. containers.  16 oz.. - 6 per case;  5 lb. -  6 per case;  20 lb. - 2 per case;  55 lb. - 1 per case.      Earth Circle Organics;  Grass Valley, CA"
F-0093-2017,"Premium Protein III, NET WT 16 OZ. (454g) www.greenwoodbiotech.com"
F-1899-2014,"Pastene ITALIAN CAPELLINI    #17, 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7082  UPC: 066086070825"
F-1780-2014,"Changunga/Nance 9 oz cups      Helados La Tapatia  Fresno, CA 93706"
F-1478-2014,"Dried Tapioca Pearl, Net Wt. 7oz, 50 bags/carton, UPC Code 0893467803068"
F-2414-2015,"Kr8om Max2 All-Natural Extraction, Formulation, and Distribution by NUEVOtanicals, LLC Fort Worth, TX 76112, 2 tablets; Kr8om Max5 All-Natural Extraction, Formulation, and Distribution by NUEVOtanicals, LLC Fort Worth, TX 76112, 5 tablets; Kr8om Max10 All-Natural Extraction, Formulation, and Distribution by NUEVOtanicals, LLC. Fort Worth, TX 76112, 10 tablets; Tablets are packed in a round, clear plastic screw-on lid container.  Dosage is ""1 tablet after a meal"", each tablet is ""4.20 g Maeng Da leaf equiv""."
F-0075-2015,"Hapi Pudding, 3-pack, net wt. 8.46oz, UPC 11152 13417, JFC item #13417"
F-2266-2014,"DMSA, 100cc HDPE bottle"
F-0750-2015,"Whole Foods Tarte Aux Pomme 10 inch, packaged in a brown box.  Net Wt. 2 lb 8 oz.   UPC: 23072300000"
F-2178-2014,Echinacea Agustifolia PE 4& echinosides    The product is in powder form extracted from the Echinacea root packed in varying size lined cardboard boxes containing 10 kg or 25 kg.
F-2274-2014,"Chitosan, Blister Pack"
F-0742-2015,"Beachbody Hardcore Base Shake  Lot #42932B22, #42931A22, and #42902B22  Black HDPE container with Black Lid.  Label stated weight of 1 lb. 12.2 oz. (800 g.)  Lot code information located on the bottom of the container in yellow ink."
F-0517-2015,"Raisin Toast, Net Wt 20 oz.. (1.25 lb)   99 Ranch Market  338 Barber Ln,  Milpitas, CA 95035"
F-1695-2014,Kinnikinnick Cinnamon & Brown Sugar Homestyle Waffles 210 g/7.4 oz Cardboard Box UPC 620133001981
F-2516-2014,"Boku Super Food 2.0, Product Sizes: 28.2 oz"
F-2253-2014,"Single Mojo, small vinyl Packs"
F-0749-2015,"White Tahina, Net Wt. 907 g, 12 jars/case"
F-2243-2014,"Samurai-X, Blister Packs"
F-1603-2014,"Heart of the Valley brand Parsnips, produce of U.S.A.,  packaged in the following sizes: 16 ounces (453 grams), UPC 31446-22016;  20 ounces (566 grams), UPC 31446-22020; 20 lb. bags; and 40 lb boxes"
F-0471-2015,"Pride of Africa brand Farina, Net Wt. 5 lb. (2.27 kg), UPC 016712016840  --- A Product of Raymond-Hadley Corp. Spencer, NY 14883 1-800-252-5220"
F-1911-2014,"Pastene ITAL TRICOLOR FARFALLE ,16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7088  UPC: 066086070887"
F-1943-2014,2372 HOT & SPICY; 4 pound plastic gallon containers; UPC 0 9093912372 7
F-1380-2015,"FERROUS SULFATE ELIXIR 220 mg/5 mL, UPC 350838778059,  NDC 50383-778-05 --- HI-TECH PHARMACAL CO, INC. AMITYVILLE, NY 11701"
F-2280-2014,"Stomach & Spleen Plus, Bottles"
F-1890-2014,"Pastene GEMELLI 104, 16 oz cellophane bag Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number: 7063  UPC: 066086070634"
F-0959-2015,"WICK FOWLER'S TEXAS STYLE FALSE ALARM Mild Chili Kit, NET WT. 3.03 oz. (86g),  Dist. by Reily Foods Company, New Orleans, LA  70130, UPC 0-00-71092-00111-4"
F-0103-2017,Placenta
F-2249-2014,"Affirm XL, Blister Packs"
F-0473-2015,"Lightly Roasted Organic Carob Powder, 1lb and 5lb bags"
F-2435-2014,"Green Vibrance 15 single serve pkts, 181.5g, 6.4oz.  Product Code: GVSD"
F-2254-2014,"Double Mojo, small vinyl Packs"
F-2330-2014,"Jody's, Freedom Funfetti; Net Wt 7.5 oz (213 g)  in clear cellophane bag."
F-1375-2015,D.L. Jardine's Texas Chili Bag O'Fixins Kit Net Wt. 4 Oz (113g)
F-1450-2014,Cactus Pads (Nopal)  Mexpogroup:  Product of Mexico
F-0702-2015,"Margaret Holmes Mixed Greens 14.5 oz, Distributed by McCall Farms, Effingham, SC"
F-0469-2015,"Publix Asian Mix, 14 oz. clamshell containers"
F-1408-2015,"Weis  Veggie Sticks  Net Wt. 6 oz.  Packed For Weis Markets, Inc. Sunbury, PA 17801  With code dates: 10 Dec 2014 thru 7 Apr 2015    Natures Place  Veggie Straws  Net Wt. 6 oz  Distributed By: DZA Brands, LLC, Salisbury NC 28147/Scarborough, ME 04074  With code dates: 6 Jan 2015 thru 27 Apr 2015    Market Basket  Veggie Sticks  Net Wt. 6 oz  Distributed by: DeMoulas Supermarkets, Inc. Tewksbury, MA 01876  With code dates: 2 Oct 2014 thru 8 Dec 2014"
F-2252-2014,"Ninja Mojo, small vinyl Packs"
F-1908-2014,"Pastene ITALIAN BUCATINI,16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7095  UPC: 066086070955"
F-0300-2016,"GOLDEN SMELL brand Hot Pot Meat Ball Medly, NET WT:1 LB (454g), UPC 8 881028 964381, Product of China -- Distributor: Strong America Ltd., 2-39 4th Ave., Long Island City, NY 11101 --- Nutrition Facts information: Serving Size: 1 oz (28g), Servings Per Container: 16"
F-2282-2014,"Circulation and Energy Formula, Bottles"
F-0643-2015,"Whole Foods Market Summer Splash, UPC/PLU 25102000000"
F-2242-2014,"Tiger-X, Blister Packs"
F-1294-2015,Macaroon Bisque.    Product can be packaged in 2.5 gallon or 1.5 gallon plastic tubs or cardboard quart container.  Firm is unable to determine how batches were packaged.
F-0768-2015,"GOLD STAR'S FINEST COLD SMOKED STEELHEAD, Net Wt. (To Be Weighed At Time of Sale).  UPC 021 143140026.  Product is sold in a Vacuum Pack with blue and gold label.  PERISHABLE.  KEEP REFRIGERATED.  Distributed by: Gold Star 570 Smith Street Brooklyn, NY 11231, 718-522-1545."
F-1912-2014,"Pastene ITAL SPIRAL TRI COLOR,16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7093  UPC: 066086070931"
F-1534-2014,Kinnikinnick Original Homestyle Waffles  Weight: 210 g/7.4oz Qty/Pkg: 6 Cardboard Box  UPC: 62013300198 1
F-2278-2014,"Detoxification Plus, Bottles"
F-1326-2015,Tommys Southwest Bulk 50# Item Code: 54312
F-0787-2015,"Perfect Bar Variety Pack (Costco Only), size 1 lb 9.6 oz, UPC 8-55569-00313-5, 10 packs/case"
F-2819-2015,"Spicy Black Bean Burger powder mix, packaged in 30 LB poly-lined Kraft bags."
F-0502-2015,"Chiclets Gum, 200 - 2 piece packs (400 pieces), Retail UPC 0 12546 02509 6, Case UPC 10012546108499"
F-2052-2014,"Large Pitted Kalamata Olives, packaged in 4.4lb black plastic barrels. Labeling reads in part: Savor Greek Large Pitted Kalamata Olives, refrigerate after opening, these olives are mechanically pitted and may contain pit fragments, DR WT 4.4LBS (2kg)"
F-2088-2014,"Coca Cola Vanilla, 12 pack/12 fl oz cans, UPC: 49000 03124, Canned under authority of the Coca Cola Company, Atlanta, GA 30313 By a member of the Coca Cola Bottlers Association, Atlanta, GA."
F-0009-2015,"Hostess Powdered Bagged Donettes, 10.5 oz."
F-0076-2015,"Lotte European Waffle, Net Wt. 40g, 160g    UPC 8801062518111, 8801062518135"
F-0450-2017,"POLLOTROPICAL TUMBLE MARINADE, 21.25 lbs."
F-1782-2014,"Cappuccino  9 oz cups      Helados La Tapatia  Fresno, CA 93706"
F-0638-2015,"Whole Foods Market Sweet Petites 2 For $3, UPC/PLU 21687700000"
F-2205-2014,"WEGMANS ICE in plastic bags; NET WT. 7 LBS (UPC 77890 29197) and NET WT 18 LBS (UPC 77890 29200) --- WEGMANS FOOD MARKETS INC. ROCHESTER, NEW YORK"
F-2410-2014,"Brown carob powder packed in a plastic heat sealed 16oz. bag, labeled in part ""Live Superfoods Carob Powder***NET WT 16 OZ***Live Superfoods Bend, Oregon"".  UPC code 797734313543    The product also sold in 10 lbs. bags."
F-2415-2015,"Green Malay/MD bulk in 1 gallon plastic jugs, no product label"
F-2265-2014,"BTI Lean Formula, 400cc HDPE Bottle"
F-2261-2014,"Rinozan, 250cc HDPE Bottles"
F-0682-2015,"Whole Foods Market FM Sangria Mix LG, UPC/PLU 29690300000"
F-0832-2015,"Chili Mac, Net Wt. 7.50 oz., UPC 7-01248-00639-6, MFG Code 1537"
F-2260-2014,"Chanca Piedra, 225cc HDPE Bottles"
F-1904-2014,"Pastene ITALIAN TRIVELLA #69 , 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7087  UPC: 066086070870"
F-2006-2014,Montboissie du haut- Livradois   Manufactured by Ste Fromagere du Livradois 63980  Fournols  13lbs or cut and wrapped (weight may vary)  wrapped in a wax paper in a case or wrapped in plastic wrap if cut; refrigerated
F-2029-2014,"Caravelle CHILI POWDER HOT Net Weight 8 oz.  (227G), plastic tub, UPC 080736115551.  24 units/case"
F-2250-2014,"Platinum A, Blister Packs"
F-2483-2014,"Clover, Crimson, Net Wt. 50 LB. PRODUCT OF USA, International Specialty Supply, 1011 Volunteer Drive, Cookeville, TN  28506"
F-0978-2015,Salpica 8 oz. Black Bean Nacho; 6 units per case
F-1449-2014,"Cactus Leaves/pads (""Nopales""), 40 lbs"
F-0101-2015,Bulk organic Carob powder (10# UPC 7-69270-80001-6)
F-0867-2015,"Single Plain Hot Dog, Net Wt. 2.50 oz., UPC 7-01248-00837-6, MFG Code 283; Single Plain Hot Dog, Net Wt., 2.10 oz., UPC 7-01248-00837-6, MFG Code 283"
F-2269-2014,"Actra-SX, Vinyl Bags"
F-1784-2014,"Rompope Bolis - 4 oz.;  Also packages in six pack boxes. (9 oz cups)    Helados La Tapatia  Fresno, CA 93706"
F-1549-2014,Kinnikinnick Cinnamon & Brown Sugar Homestyle Waffles-Weight: 210 g/7.4oz Qty/Pkg: 6 Cardboard Box-UPC: 62013300199 8
F-1901-2014,"Pastene ITALIAN SHELLS  #25 , 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7084  UPC: 066086070849"
F-1312-2015,Earl Campbell's Famous BBQ Rib Rub Net Wt.: 10 oz (283.5g) UPC: 742955834612
F-1886-2014,"Losurdo IMPORTED GRATED PECORINO ROMANO, NET WT. 80 OZ. (5 LB.) 2.27 Kg, UPC 0 75009 00232 4.  Product packaged within black plastic bag, with 5 bags per carton (20 LB) total per carton.  Distributor LOSURDO FOODS, INC. 20 Owens Roads Hackensack, NJ 07601."
F-2281-2014,"Bone & Joint Plus, Bottles"
F-2284-2014,"Vital Balance Formula, Bottles"
F-0566-2015,"Los Chileros de nuevo mexico gourmet southwestern cuisine Sopaipilla Mix, Net Wt. 12 oz (340 grams), Los Chileros de Nuevo Mexico, PO Box 6215, Santa Fe, NM 87502"
F-2415-2014,"Organic Carob Powder, 1 lb., 20 lb., and 55 lb. bags  Expiry date: 6/5/2015, UPC Code 803813-04429-8"
F-0099-2015,"Carob Supergreens Chunks of Energy (10# UPC 7-69270-10009-7); also, Carob Supergreens Chunks of Energy and Rave BItes Brand Carob Supergreens (7 oz UPC 7-69270-70008-8)."
F-2258-2014,"Shark Formula, 250 cc HDPE Bottles"
F-0449-2017,"MARCUM CHILl POWDER, 2.25 oz."
F-0092-2015,"1) Nature's Place Organic Campfire Trail Mix; Net. Wt. 12 oz. (340 g); Distributed by DZA Brands LLC 2110 Executive Drive Salisbury, NC 28147; UPC 725439951920      2) Nature's Promise Organic Campfire Trail Mix; Net. Wt. 12 oz. (340 g); Distributed by Foodhold USA LLC Landover, MD 20785; 1-877-846-9949; UPC 688267066092    3) Woodstock  Organic Campfire Trail Mix; Net. Wt. 10 oz. (283 g); Distributed by Woodstock 313 Iron Horse Way Providence, RI 02908 USA; UPC 042563009366"
F-1319-2015,Jardines Chili Packet A Item Code: 16937 (Quantity: 250 EA. 0.13 LB)
F-0582-2015,"Item Number 723297.01,Kerry  80529TR PC NEW ENGLISH BANG, Net WT 6.7 KG, Lot Number: 0402437604, 0403437502, 0430437506, 0506437603."
F-2277-2014,"Kidney&Chi Plus, Bottles"
F-0569-2015,"Los Chileros de nuevo mexico gourmet southwestern cuisine Carne Adovada with Sopaipilla Mix, 13 oz.., Los Chileros de Nuevo Mexico, PO Box 6215, Santa Fe, NM 87502"
F-1374-2015,"D.L. Jardine's Texas Chili Works ""THE WHOLE KIT N KABOODLE"" NET WT. 3 Oz (85g)"
F-2305-2014,"Beirut Lift Turnips Pickles, Net Wt. 24.66 oz., 700g, Imported & Distributed By: Baroody Import Inc., 1500 B Main Ave. Clifton, NJ 07011, N DC #642036014141 in a sealed glass jar."
F-2043-2014,"Marissa Collection Tangerine Appetizer Plate Set (set of 2). distributed by Princess House Inc., Taunton, MA"
F-2004-2014,"Dragonfly Brand Crushed Chili Powder, Net Wt.  6.3 oz plastic tubs.  Product of Thailand  UPC 7 21557-53317 8    Packed for:  U.S. Trading Co., 21118 Cabot Blvd., Hayward, CA  94545"
F-2061-2014,"Ferrous Gluconate Tablets, 5gr (325 mg), Elemental Iron 36 mg, 100 Tablets, UPC 0 79854 50032 5"
F-1902-2014,"Pastene ITALIAN DITALI  #45 , 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7085  UPC: 066086070856"
F-2248-2014,"Actimeta, Blister Packs"
F-2264-2014,"Garcinia Cambogia, 225cc HDPE Bottle"
F-2244-2014,"Samurai Gold, Blister Packs"
F-1557-2014,"Cactus Leaves (Nopales), 44 lbs."
F-1788-2014,"Dozen Mix Bag Bolis - 4 oz.    Helados La Tapatia  Fresno, CA 93706"
F-2247-2014,"Adam, Blister Packs"
F-2256-2014,"Calcium Formula, 250 cc HDPE Bottles"
F-1909-2014,"Pastene ITALIAN ORECCHIETTE ,16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7097  UPC: 066086070979"
F-1320-2015,25# NC Chili Powder Item Code: 20685 Item UPCA: 041313206857
F-2407-2014,"Golden Natural Mix Party Net Wt 23.00 oz. in a plastic round tub Product of Crown Food North Bergen, NJ 07047 UPC 098346021049"
F-0025-2015,"Fresh Finds ground black pepper Net Wt. 3.53 oz (100g) Distributed by: Big Lots Stores, Inc. P.O. Box 28523 Columbus, OH 43228-0523 Packed in the USA  UPC 411010982901  packaged in plastic jars; 12 jars per case"
F-2056-2014,"Fresh Wild Gulf Amberjack (Whole, Fillet and Portion)"
F-1558-2014,"Cactus Leaves/Pads (Nopales)    MexpoGroup Brand  MexpoGroup Fresh Produce  Colonia Buenos Aires Norte,  Tijuana, Baja California, Mexico."
F-1477-2014,"Gano C'Real Spirulina, Net Wt. 450g (30gx15 sachets)"
F-1896-2014,"Pastene  ITALIAN LINGUINE   #6,  16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7077  UPC: 066086070771"
F-2329-2014,"Jody's, Funfetti, Net Wt 7.5 oz (213 g) and  4 oz in clear cellophane bag."
F-1903-2014,"Pastene ITALIAN STELLINE   #59  , 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7086  UPC: 066086070863"
F-0102-2017,Premium Reishi King
F-1883-2015,Texamerican Glaze Mix 25 lbs. Item Number TF2710901
F-2525-2014,Pink Beans sold under two brand names Goya and Jibarito (see labels description below)    Goya Pink Beans Habichuelas Rosadas 15.5 oz. (439g)    El Jibarito Habichuelas Rosadas 15.5 oz. (439g)
F-1968-2014,"PDP reads in part ""***GOOD FOOD MADE SIMPLE***breakfast in a bowl *** SOUTHWESTERN VEGGIES***""    UPC 0 80618 41801 5"
F-2015-2015,RICOS Tostaditos Vegetal Skins Imitation Rinds Chicharron Vegetal Crispy and Delicious Net Wt. 3/4 oz. (21g)
F-2523-2014,Goya Black Beans  Frijoles Negros 15.5 oz (439g)
