recall_number,category,confidence
F-2367-2015,Spices/Condiments,high
H-0584-2025,Seafood,high
F-1488-2013,Supplements,high
F-0858-2015,Prepared/Frozen,high
F-0324-2021,Spices/Condiments,high
F-1274-2013,Seafood,high
F-0583-2020,Prepared/Frozen,medium
F-0881-2020,Bakery,medium
F-1654-2013,Nuts/Seeds,high
F-0069-2025,Produce,high
F-2160-2015,Spices/Condiments,high
F-0936-2020,Bakery,high
F-3075-2015,Grains/Cereal,medium
F-2333-2016,Supplements,high
F-2331-2017,Grains/Cereal,medium
F-1131-2018,Bakery,medium
F-3116-2015,Dairy,high
H-0029-2026,Bakery,high
F-0238-2020,Food Additives/Ingredients,medium
F-2293-2015,Prepared/Frozen,medium
F-1166-2020,Snacks/Candy,high
F-0493-2014,Prepared/Frozen,medium
F-2113-2014,Dairy,medium
F-0995-2015,Dairy,high
F-0515-2021,Grains/Cereal,medium
F-0074-2013,Dairy,high
F-1425-2023,Produce,high
F-0222-2015,Supplements,medium
F-0741-2018,Spices/Condiments,high
F-1342-2015,Spices/Condiments,high
F-0646-2017,Snacks/Candy,low
F-1706-2018,Supplements,high
H-0063-2026,Produce,high
F-1423-2012,Seafood,high
F-2562-2015,Dairy,high
F-2119-2014,Dairy,high
F-0250-2015,Supplements,medium
F-1229-2022,Snacks/Candy,high
F-1654-2019,Dairy,high
F-2624-2016,Dairy,high
F-3007-2015,Produce,high
F-1931-2015,Prepared/Frozen,high
F-1278-2015,Dairy,high
H-0024-2026,Seafood,medium
F-1088-2024,Spices/Condiments,high
F-1995-2019,Bakery,medium
F-3399-2017,Dairy,medium
F-0523-2014,Produce,medium
F-1349-2015,Prepared/Frozen,high
F-1522-2012,Uncategorized,low
F-1561-2019,Grains/Cereal,high
F-1667-2022,Supplements,medium
F-2564-2017,Seafood,high
F-1408-2024,Prepared/Frozen,high
F-1546-2017,Snacks/Candy,high
H-0304-2025,Dairy,high
F-1389-2022,Bakery,high
F-1020-2023,Spices/Condiments,high
F-2622-2016,Snacks/Candy,high
F-1260-2014,Supplements,high
F-0858-2024,Prepared/Frozen,high
F-2447-2015,Prepared/Frozen,medium
F-0316-2017,Nuts/Seeds,high
F-1531-2014,Uncategorized,low
F-1941-2014,Dairy,high
F-2368-2016,Produce,high
F-1717-2019,Dairy,high
F-0913-2018,Supplements,high
F-2694-2015,Snacks/Candy,low
F-1290-2017,Bakery,medium
H-0066-2025,Bakery,medium
F-1601-2013,Seafood,high
F-0003-2022,Prepared/Frozen,high
F-0085-2015,Bakery,high
F-1550-2014,Bakery,high
F-2740-2017,Seafood,high
F-1645-2016,Plant Protein,medium
F-3009-2017,Grains/Cereal,medium
F-1864-2019,Dairy,medium
H-1125-2026,Snacks/Candy,high
F-1852-2013,Produce,high
F-0522-2015,Bakery,medium
F-1499-2012,Spices/Condiments,medium
F-1689-2013,Nuts/Seeds,high
F-0293-2020,Prepared/Frozen,medium
F-1087-2024,Spices/Condiments,high
F-2981-2017,Grains/Cereal,high
F-0188-2018,Plant Protein,medium
F-1922-2013,Supplements,high
F-0133-2014,Supplements,medium
F-1857-2015,Beverages,low
F-0070-2020,Supplements,high
F-3557-2017,Snacks/Candy,high
F-1195-2018,Dairy,high
F-2088-2017,Prepared/Frozen,high
F-0031-2019,Nuts/Seeds,high
H-0076-2025,Grains/Cereal,medium
F-0855-2018,Bakery,high
F-1404-2014,Snacks/Candy,high
H-0343-2025,Bakery,high
F-1284-2023,Snacks/Candy,high
F-1026-2016,Prepared/Frozen,low
F-2363-2017,Produce,high
F-1775-2013,Plant Protein,high
F-1477-2022,Snacks/Candy,high
F-0136-2020,Snacks/Candy,high
F-1424-2018,Supplements,high
F-2284-2017,Seafood,high
F-0840-2023,Produce,high
F-0869-2025,Prepared/Frozen,low
F-0236-2016,Bakery,high
F-0775-2016,Dairy,high
F-1429-2020,Snacks/Candy,high
F-0875-2023,Snacks/Candy,low
F-1582-2022,Bakery,medium
F-2637-2015,Dairy,high
F-1521-2012,Uncategorized,low
F-2063-2017,Snacks/Candy,high
F-0470-2014,Produce,high
F-0351-2021,Prepared/Frozen,medium
F-1107-2014,Grains/Cereal,high
F-0060-2023,Supplements,medium
F-1559-2024,Dairy,medium
F-0442-2017,Dairy,high
F-1632-2017,Beverages,high
F-1137-2020,Produce,high
F-0095-2015,Prepared/Frozen,high
F-2273-2017,Seafood,high
F-0412-2025,Snacks/Candy,medium
F-1666-2014,Snacks/Candy,high
F-1175-2014,Spices/Condiments,high
F-0082-2018,Bakery,medium
F-0172-2022,Produce,high
F-1275-2020,Produce,high
F-0917-2024,Dairy,low
F-0760-2025,Bakery,high
F-0127-2024,Prepared/Frozen,high
F-1513-2016,Beverages,high
H-0449-2025,Spices/Condiments,high
F-2983-2017,Grains/Cereal,high
F-3227-2015,Snacks/Candy,high
F-1712-2014,Dairy,high
F-0943-2021,Seafood,medium
H-0604-2026,Plant Protein,high
F-2356-2016,Nuts/Seeds,high
F-2119-2012,Snacks/Candy,high
F-1666-2017,Dairy,high
F-1506-2012,Spices/Condiments,medium
F-0623-2019,Spices/Condiments,high
F-1430-2023,Produce,high
F-0237-2013,Prepared/Frozen,medium
F-1904-2013,Supplements,high
F-0317-2025,Beverages,high
F-0737-2025,Plant Protein,medium
F-1840-2017,Dairy,high
F-0702-2013,Produce,high
F-0037-2020,Dairy,high
F-0811-2025,Nuts/Seeds,medium
F-0582-2014,Produce,medium
F-1822-2016,Bakery,medium
F-1871-2017,Dairy,high
F-0365-2016,Seafood,high
F-0716-2015,Produce,medium
F-1793-2017,Dairy,high
F-1845-2015,Spices/Condiments,high
F-2384-2017,Supplements,high
F-0114-2021,Beverages,medium
F-1945-2017,Snacks/Candy,high
F-0753-2013,Bakery,high
F-0061-2022,Nuts/Seeds,high
H-0560-2025,Snacks/Candy,high
F-0651-2014,Prepared/Frozen,low
F-0975-2019,Dairy,high
F-1424-2012,Seafood,high
F-1074-2023,Grains/Cereal,medium
F-0472-2025,Bakery,high
F-1730-2017,Seafood,high
F-1384-2014,Supplements,high
F-2976-2017,Grains/Cereal,high
F-1133-2015,Dairy,high
F-1137-2023,Spices/Condiments,medium
F-0534-2015,Spices/Condiments,high
F-0035-2020,Produce,high
F-0040-2015,Snacks/Candy,high
F-0699-2021,Nuts/Seeds,high
F-2315-2015,Spices/Condiments,high
